number,value,datetime_start,datetime_complete,duration,params_dropout,params_grad_clip,params_label_smoothing,params_learning_rate,params_scheduler,params_weight_decay,state
0,1.3633711847682777,2026-08-04 20:50:49.216516,2026-08-04 20:52:42.440402,0 days 00:01:53.223886,0.36599697090570255,0.5,0.05,0.00043284502212938834,cosine,0.0007114476009343421,COMPLETE
1,1.325344335396644,2026-08-04 20:52:42.440901,2026-08-04 20:54:35.144503,0 days 00:01:52.703602,0.09091248360355031,1.0,0.05,0.002595942550311264,none,4.335281794951567e-06,COMPLETE
2,1.3773821182160397,2026-08-04 20:54:35.144982,2026-08-04 20:56:27.697101,0 days 00:01:52.552119,0.09983689107917987,0.0,0.02,0.0005954553793888993,onecycle,0.0002267398652378039,COMPLETE
3,1.3488644432871262,2026-08-04 20:56:27.697460,2026-08-04 20:58:19.958663,0 days 00:01:52.261203,0.34211651325607845,0.5,0.0,0.00032925293631105276,none,1.9634341572933354e-06,COMPLETE
4,1.3778314271080765,2026-08-04 20:58:19.959055,2026-08-04 21:00:12.952335,0 days 00:01:52.993280,0.4847923138822793,0.5,0.05,0.0008488762161408717,onecycle,3.5856126103453987e-06,COMPLETE
5,1.3199150285746137,2026-08-04 21:00:12.952739,2026-08-04 21:02:05.316599,0 days 00:01:52.363860,0.41436875457596467,0.5,0.0,0.00045745782054754043,none,6.516990611177181e-06,COMPLETE
6,1.3913726520618277,2026-08-04 21:02:05.316986,2026-08-04 21:03:56.868081,0 days 00:01:51.551095,0.35342867192380856,1.0,0.0,0.00010218376758008094,onecycle,0.0002795015916508333,COMPLETE
7,1.3555502920171942,2026-08-04 21:03:56.868413,2026-08-04 21:05:49.057984,0 days 00:01:52.189571,0.36480308916903204,1.0,0.02,0.0003375589571206087,onecycle,9.4525713910723e-06,COMPLETE
8,1.3342815022647867,2026-08-04 21:05:49.058322,2026-08-04 21:07:40.900887,0 days 00:01:51.842565,0.012709563372047594,1.0,0.05,0.0007728716861851782,none,1.9170041589170666e-05,COMPLETE
9,1.364858528685118,2026-08-04 21:07:40.901272,2026-08-04 21:09:32.531069,0 days 00:01:51.629797,0.144875726456884,0.5,0.02,0.0002447491657907381,onecycle,1.7019223026554036e-06,COMPLETE
10,1.3962393615432658,2026-08-04 21:09:32.531403,2026-08-04 21:11:23.776327,0 days 00:01:51.244924,0.23813393611775718,0.0,0.0,0.004138265387951077,cosine,4.748459024928747e-05,COMPLETE
11,1.345066904151039,2026-08-04 21:11:23.776760,2026-08-04 21:13:14.831364,0 days 00:01:51.054604,0.4734809381950747,1.0,0.0,0.0025708787145015855,none,7.870414016941037e-06,COMPLETE
12,1.3409352321531103,2026-08-04 21:13:14.831792,2026-08-04 21:15:06.358027,0 days 00:01:51.526235,0.22407819842715998,0.5,0.05,0.001809203101363863,none,4.044574059404959e-05,COMPLETE
13,1.3094506573377664,2026-08-04 21:15:06.358412,2026-08-04 21:16:57.116756,0 days 00:01:50.758344,0.048680078225447454,1.0,0.0,0.001598124879976103,none,1.0747446438207505e-06,COMPLETE
14,1.3068327376640312,2026-08-04 21:16:57.117097,2026-08-04 21:18:48.038909,0 days 00:01:50.921812,0.004012612046842626,0.0,0.0,0.001165055293405376,none,1.2611236054600717e-06,COMPLETE
