,AllGestureWiimoteX,AllGestureWiimoteY,AllGestureWiimoteZ,Car,ChlorineConcentration,CinCECGTorso,DodgerLoopDay,DodgerLoopGame,DodgerLoopWeekend,Earthquakes,FordA,FordB,FreezerRegularTrain,FreezerSmallTrain,GesturePebbleZ1,GesturePebbleZ2,InsectWingbeatSound,ItalyPowerDemand,Lightning2,Lightning7,MoteStrain,Phoneme,PickupGestureWiimoteZ,Plane,ShakeGestureWiimoteZ,SonyAIBORobotSurface1,SonyAIBORobotSurface2,StarLightCurves,Trace,Wafer
AllGestureWiimoteX,0.0,58.15711356660863,23.92191404834139,93.0880912130985,32.222275451970276,40.822864908398095,30.434089954005593,21.586338649869752,21.74858875183881,87.44426906996644,46.49678878003948,51.863736137824915,23.389611542832675,22.357033975527035,15.845956723199924,14.196175771907026,77.40336603083459,67.5674827039172,21.69555303669982,19.434066702511135,51.077744676063794,54.79369941608006,30.826772565323548,62.166123171711455,39.423312633215644,40.95952888103408,26.83121167763688,122.55917644626798,94.93328612224417,45.726672239296015
AllGestureWiimoteY,58.15711356660863,0.0,41.22461086700984,42.547008559560865,48.57907996285146,72.03631389002108,35.678687746034875,28.506440527972114,28.685330572353003,183.3241203820451,96.84560353456293,110.0463637158176,30.842072217006884,31.591537320369383,43.26239949029049,46.84957784518957,18.5480090630248,84.51332429499062,33.03298672843735,34.93962923522808,28.685800046847078,122.61376746148039,27.579378433945433,29.30596171436583,43.94682673231325,20.991284764851887,29.526630790057595,33.41031039412094,89.1913724046312,22.12737547798598
AllGestureWiimoteZ,23.92191404834139,41.22461086700984,0.0,92.5769078366075,25.01688210930602,35.572428601735325,62.68394763579745,43.96256884016507,43.45223433390776,77.25440511953414,42.294382983052685,47.53137059278633,37.091798444580405,36.55929328407247,26.57903980300968,25.623600775979746,66.73231194253627,147.09580438708957,36.345532370874224,35.20216950608827,60.842960139773474,54.94588260678575,24.976589546339707,57.57903436324124,28.108822744374717,35.98977891430288,23.38401973376581,109.7430552147719,167.664833228234,61.245870900226244
Car,93.0880912130985,42.547008559560865,92.5769078366075,0.0,104.72728431987889,166.47364334319556,34.501201829249375,48.71566236702171,48.368851731147295,407.6494740831495,213.4806002596107,233.79259016645491,61.36649367154552,61.750350242454395,68.16913223527338,72.37845513599359,33.310976283425354,24.79536609157815,69.29787538781206,69.80070541535932,31.126719996409257,230.77645333208562,49.74932844039144,14.987367638689838,128.2632807701868,25.321117900187918,78.62559424857825,25.713613249913713,34.16227332526791,43.610480258608774
ChlorineConcentration,32.222275451970276,48.57907996285146,25.01688210930602,104.72728431987889,0.0,25.121315127162422,98.46686395704799,69.08898558031386,67.9040934713778,59.077990942683535,32.216813312264186,36.94716841919381,59.83491406479615,58.90196503796657,34.83973408378866,31.43136599648383,82.74466059623764,220.62958204714894,56.445195227776146,54.82780153053002,87.2598457694117,29.515809858302283,32.61660338639696,68.14452042733029,18.188178511225573,49.305567679070705,37.891271162118734,129.72529389482312,243.6538662840847,79.46887658454112
CinCECGTorso,40.822864908398095,72.03631389002108,35.572428601735325,166.47364334319556,25.121315127162422,0.0,121.36644055465727,85.48388739690482,83.49310173302621,46.315935977046124,21.894160046404817,25.23511065475271,68.43375357279677,67.26629027065728,52.053787820889,46.82374646726101,108.18346421816761,287.25881325498324,70.46747954688175,68.20400474784603,109.03409468056533,28.76215755133059,54.56699711331491,116.97067185616565,21.20154439468972,77.29858395948575,49.1737284924624,178.72465576303887,298.1759306125846,87.54694540863433
DodgerLoopDay,30.434089954005593,35.678687746034875,62.68394763579745,34.501201829249375,98.46686395704799,121.36644055465727,0.0,1.8460566326055605,3.160353550332269,233.1465112040051,133.4392498437674,144.26569556149266,22.092360737371965,21.994725080727466,32.84285717406504,36.07365624799063,26.9500401906022,20.275924954301757,17.106157385862232,16.39964089746152,19.028812528023714,162.7435115832124,40.510100765036775,22.53765254086596,108.75173701468032,25.7094769797588,44.93330557964041,45.603412718018866,36.58204565425724,21.93340052608277
DodgerLoopGame,21.586338649869752,28.506440527972114,43.96256884016507,48.71566236702171,69.08898558031386,85.48388739690482,1.8460566326055605,0.0,1.8198347844745806,164.39181247527216,93.60050202390768,101.04977595538911,15.82421102305641,15.774814023480678,23.07007897588845,25.380267274624686,38.477584981305576,28.517435389080337,12.274436769743474,11.766228819803164,26.210396619722193,114.3989219666584,28.174103663894286,31.90880943933072,75.97309142175448,18.942205822779083,31.352149462270287,65.13673973247721,51.98807609970009,22.134449316624455
DodgerLoopWeekend,21.74858875183881,28.685330572353003,43.45223433390776,48.368851731147295,67.9040934713778,83.49310173302621,3.160353550332269,1.8198347844745806,0.0,162.05800530138458,92.36399398696832,99.63069661953651,16.0967148453502,16.063971881209344,22.53418418030723,24.80886756285591,39.35575495689699,27.345175386495708,12.046650831254954,11.488443161866389,27.25750785408564,112.76477650058176,27.24880131415893,32.041424444596714,74.11204614520074,19.03054687912844,31.082529271621244,66.97450323976395,51.72175513055559,22.06366440795615
Earthquakes,87.44426906996644,183.3241203820451,77.25440511953414,407.6494740831495,59.077990942683535,46.315935977046124,233.1465112040051,164.39181247527216,162.05800530138458,0.0,38.387161084280166,33.955061537158265,138.8524118482196,136.96744178100013,112.83553601616917,104.93022360391299,255.11192128047134,566.8232257770499,139.05512084735284,134.19098255946366,235.75150326470197,30.7685395413546,115.80869381257605,287.74668729703745,53.92397365144069,169.7929012477413,111.21564915794629,447.2455094969885,687.1617100736781,193.48111142380682
FordA,46.49678878003948,96.84560353456293,42.294382983052685,213.4806002596107,32.216813312264186,21.894160046404817,133.4392498437674,93.60050202390768,92.36399398696832,38.387161084280166,0.0,23.760010261703826,78.31915538391213,77.27035185891421,60.1581891502338,55.361903888224276,143.99030737648158,313.5816947198524,75.52211297183966,72.91546643538348,127.5695808526545,23.588893255902896,63.340650952502436,141.80510889013095,28.13888431483229,95.67636176801335,58.938319375865596,230.18411499075896,348.2246478564412,111.5899672910103
FordB,51.863736137824915,110.0463637158176,47.53137059278633,233.79259016645491,36.94716841919381,25.23511065475271,144.26569556149266,101.04977595538911,99.63069661953651,33.955061537158265,23.760010261703826,0.0,89.0674220420627,87.82491639756158,64.26072671818078,60.08085550752431,156.39869815805278,342.27173711905925,83.66242797851281,80.85922188949758,142.75104639211713,20.808383212042198,70.42486137498875,156.1605563149685,31.102827902554836,104.36466926746114,64.13301772808165,255.27738924778612,385.82423803108924,120.53502191676527
FreezerRegularTrain,23.389611542832675,30.842072217006884,37.091798444580405,61.36649367154552,59.83491406479615,68.43375357279677,22.092360737371965,15.82421102305641,16.0967148453502,138.8524118482196,78.31915538391213,89.0674220420627,0.0,1.2360963609872884,25.83248841703075,28.216802655676155,33.628860572334375,63.95308965123068,16.305089384026758,16.643952677710907,18.558769111792476,100.35995667515131,31.2569192996079,40.99823730294869,69.4818038414458,25.532038300644476,28.007541869050502,62.64606773865369,89.2521440560591,21.672835523573646
FreezerSmallTrain,22.357033975527035,31.591537320369383,36.55929328407247,61.750350242454395,58.90196503796657,67.26629027065728,21.994725080727466,15.774814023480678,16.063971881209344,136.96744178100013,77.27035185891421,87.82491639756158,1.2360963609872884,0.0,25.039054025497087,27.344822886050835,34.7535411523193,63.76814458343431,15.920623067780861,16.183839574735014,19.05152495429566,98.83273986795116,30.7638096322687,41.31323645983209,68.68564890716851,25.68259417875113,27.939244248212944,64.14396147494669,88.83812385597038,22.414061580516588
GesturePebbleZ1,15.845956723199924,43.26239949029049,26.57903980300968,68.16913223527338,34.83973408378866,52.053787820889,32.84285717406504,23.07007897588845,22.53418418030723,112.83553601616917,60.1581891502338,64.26072671818078,25.83248841703075,25.039054025497087,0.0,3.6482957383448906,62.92051165411883,67.90928512927894,18.197235178237957,16.711469980015405,48.591320369838016,59.41105218327844,19.2217853434147,38.52297006258601,46.93580931856407,29.871225983538757,21.23163489108861,90.59921069469117,64.93727190103635,44.7307627726704
GesturePebbleZ2,14.196175771907026,46.84957784518957,25.623600775979746,72.37845513599359,31.43136599648383,46.82374646726101,36.07365624799063,25.380267274624686,24.80886756285591,104.93022360391299,55.361903888224276,60.08085550752431,28.216802655676155,27.344822886050835,3.6482957383448906,0.0,67.40634878289251,75.66035230404707,21.1082510688853,19.477900900929345,52.40442852909099,53.918430441891786,21.139286293038626,41.83947751677619,43.89436525837255,31.369560577687118,22.801834065985307,98.00610118453562,72.15231254063238,47.91142894378582
InsectWingbeatSound,77.40336603083459,18.5480090630248,66.73231194253627,33.310976283425354,82.74466059623764,108.18346421816761,26.9500401906022,38.477584981305576,39.35575495689699,255.11192128047134,143.99030737648158,156.39869815805278,33.628860572334375,34.7535411523193,62.92051165411883,67.40634878289251,0.0,57.86804853612133,46.61555297144514,49.38741328106786,16.599490637528017,171.2068559884892,51.873185817319424,22.681093354799433,94.78998911049406,31.786860893511836,45.35533171861961,18.918670416024373,65.47809904792096,22.19471827887238
ItalyPowerDemand,67.5674827039172,84.51332429499062,147.09580438708957,24.79536609157815,220.62958204714894,287.25881325498324,20.275924954301757,28.517435389080337,27.345175386495708,566.8232257770499,313.5816947198524,342.27173711905925,63.95308965123068,63.76814458343431,67.90928512927894,75.66035230404707,57.86804853612133,0.0,54.35355506104478,50.388312126344715,47.768278866258804,372.4696379968513,89.99809439191654,41.029025325043385,247.83113625587873,56.488053986186394,111.84859460032786,36.36413113665952,13.929857357331919,56.210226704921254
