,AllGestureWiimoteX,AllGestureWiimoteY,AllGestureWiimoteZ,Car,ChlorineConcentration,CinCECGTorso,DodgerLoopDay,DodgerLoopGame,DodgerLoopWeekend,Earthquakes,FordA,FordB,FreezerRegularTrain,FreezerSmallTrain,GesturePebbleZ1,GesturePebbleZ2,InsectWingbeatSound,ItalyPowerDemand,Lightning2,Lightning7,MoteStrain,Phoneme,PickupGestureWiimoteZ,Plane,ShakeGestureWiimoteZ,SonyAIBORobotSurface1,SonyAIBORobotSurface2,StarLightCurves,Trace,Wafer
AllGestureWiimoteX,0.0,1.1906993777188832,0.6640419769398462,0.5176762764762138,0.7062503285454953,0.47309017992174474,0.4226576853724477,0.394290694781407,0.42762014859643643,0.8112683880401709,0.7752630560887773,0.861250172887801,0.6310648124575171,0.6192763900922585,0.33879224892296667,0.3345408078183693,1.272301568050294,0.28897897507758513,0.5379700875535961,0.4722555546656613,0.6819833636827392,0.6498059702497117,0.5359086774843663,0.5063430753427771,0.7919934768138358,0.4766595911923345,0.5994448583491262,0.7386580701171258,0.48965291023426166,0.669751995442692
AllGestureWiimoteY,1.1906993777188832,0.0,0.6111075742628421,0.7446350738450814,0.54972085991697,0.6805748478069087,0.3921902479868977,0.376845043147758,0.3780325437308835,0.7877555892965785,0.8474978611878378,0.8727617077796126,0.37346480883927474,0.3746465659309577,0.9437888409244958,0.9575528853446883,0.2841125040351523,0.6670451013859254,0.25075481302211317,0.3196173247673496,0.3164047650810689,0.7843753554282928,0.6766055583803172,0.5928231618667691,0.49006813724722065,0.6964623395855702,0.626290289420158,0.3469465801461459,1.3243555977801407,0.3952281819636022
AllGestureWiimoteZ,0.6640419769398462,0.6111075742628421,0.0,0.5667620252078511,0.6200131937865285,0.5391235111605885,0.5509454374273579,0.5685999437068402,0.5461434769680815,0.7864443047991934,0.7571087420229274,0.8441853648229956,0.6572027860555238,0.6262022533038389,0.5764528917697459,0.6015275593064989,0.7485428199812202,0.49922783431886686,0.639751098128377,0.6449881693106907,0.4913402823432718,0.6827565560796114,0.31988345696791176,0.5403064665551017,0.363177849328114,0.36840001804128947,0.5099818706176178,0.37393860249479516,0.9997491164081894,0.5051743581106187
Car,0.5176762764762138,0.7446350738450814,0.5667620252078511,0.0,0.6210038548717953,0.5905402700612986,0.7688748099442774,0.739594631961765,0.7178102550657663,0.8479783753013684,0.9053456013337514,0.8208943824713337,0.9166785247806561,0.9271818266020052,0.5234307431215073,0.5995069060252045,0.7423573422432839,0.705460166996509,0.7828287551854668,0.7920094437589756,0.3651816314669212,0.7431935900688832,0.49916098504102285,0.2293325185806138,0.5771217272831808,0.265276939983632,0.606731523721119,0.5604090618956693,0.7642446966287295,0.7660473557694091
ChlorineConcentration,0.7062503285454953,0.54972085991697,0.6200131937865285,0.6210038548717953,0.0,0.6899174378471662,0.9411496740825798,0.9223450783721415,0.9284455165449538,0.6959409116795989,0.7022448911122768,0.6716279318579863,0.9030298799956894,0.8986554490763065,0.5709516801466454,0.6020379390272486,0.63346598067804,0.8509328680968867,0.8393908324498516,0.8617966440577611,0.6850189186753046,0.4803635232146382,0.4947404105645768,0.5241684376008776,0.4738353858717326,0.6305535535301788,0.6273099366483157,0.6079736706390176,0.8523994910807149,0.7389917853101938
CinCECGTorso,0.47309017992174474,0.6805748478069087,0.5391235111605885,0.5905402700612986,0.6899174378471662,0.0,0.8958148611512027,0.8886743072667405,0.8939754811783607,0.7411320375925047,0.6741774559052027,0.7456688321362228,0.9273596626150459,0.9105402523999205,0.6349404924689707,0.6914864827792704,0.7127110949251023,0.7896216147636226,0.7793250581414439,0.8240174649507125,0.6762146759453597,0.6486445310486788,0.5557041580946412,0.6445964861975494,0.5302064869872565,0.5349187625829577,0.4446185763353418,0.5635640582338152,1.1374487565726554,0.7874110670365044
DodgerLoopDay,0.4226576853724477,0.3921902479868977,0.5509454374273579,0.7688748099442774,0.9411496740825798,0.8958148611512027,0.0,0.05145002233443614,0.07083128787691156,0.8183500471937812,0.9033758963566278,0.8483500307979951,0.1934784763059062,0.21234004785607877,0.46051748384328184,0.4733530963147906,0.5317544493831997,0.1436919981321804,0.25405609214982783,0.20974373137473862,0.34960789996917213,0.8078036893120677,0.6027592072579764,0.766591214810428,0.8424829709142808,0.5551129708560507,0.7687857578643232,0.9264308247731482,0.46983779021585875,0.3069949005674224
DodgerLoopGame,0.394290694781407,0.376845043147758,0.5685999437068402,0.739594631961765,0.9223450783721415,0.8886743072667405,0.05145002233443614,0.0,0.06975768100811053,0.8007042973969505,0.8848687742214913,0.827864710391173,0.21915310060001988,0.23635019425534842,0.4634739113389453,0.46348714992911233,0.5380026572117819,0.16136969817668131,0.25326417838444937,0.21076958824750697,0.3503271854449492,0.7884869080550413,0.6018562625700672,0.7496389140048824,0.8243669779687507,0.5440718483148532,0.74721075796065,0.8747703675480991,0.4814597773222005,0.29199359188029816
DodgerLoopWeekend,0.42762014859643643,0.3780325437308835,0.5461434769680815,0.7178102550657663,0.9284455165449538,0.8939754811783607,0.07083128787691156,0.06975768100811053,0.0,0.7991589104988783,0.8780069546746491,0.8393708120331022,0.21769173583864998,0.2359442789294449,0.4596537498117751,0.45362320966908887,0.5504177452362718,0.15581881012289325,0.24473529406172273,0.20770526001381318,0.325483358513888,0.7809111263608308,0.5902960908328678,0.7394325418729675,0.8270783396912205,0.5572845272884009,0.7303442133833495,0.9018269260877525,0.4576605055144127,0.3553127130325589
Earthquakes,0.8112683880401709,0.7877555892965785,0.7864443047991934,0.8479783753013684,0.6959409116795989,0.7411320375925047,0.8183500471937812,0.8007042973969505,0.7991589104988783,0.0,0.6546164045351742,0.6223621218117298,0.8691837908378716,0.8656198095992323,0.8766606741498028,0.9144879996506056,0.7502520652701198,0.8184484736962634,0.8518461692056389,0.8618771517618309,0.8148575527338319,0.6323412960585043,0.79791805438654,0.9006487491479804,0.733262444074564,0.7876758431784677,0.7328957994515035,0.8410734842639132,0.9753958472609588,0.7934929376800663
