,AllGestureWiimoteX,AllGestureWiimoteY,AllGestureWiimoteZ,Car,ChlorineConcentration,CinCECGTorso,DodgerLoopDay,DodgerLoopGame,DodgerLoopWeekend,Earthquakes,FordA,FordB,FreezerRegularTrain,FreezerSmallTrain,GesturePebbleZ1,GesturePebbleZ2,InsectWingbeatSound,ItalyPowerDemand,Lightning2,Lightning7,MoteStrain,Phoneme,PickupGestureWiimoteZ,Plane,ShakeGestureWiimoteZ,SonyAIBORobotSurface1,SonyAIBORobotSurface2,StarLightCurves,Trace,Wafer
AllGestureWiimoteX,0.0,0.502897179551912,-0.6333818989650607,-0.3077940608185017,0.3874501873382023,-0.25356380069606227,-1.0456876477606163,-1.03933350409043,-1.0220566817393182,0.038683727523720395,-0.11367919713975198,-0.013945239243172662,-0.5988282148905084,-0.6516043320927419,-1.1502632117977782,-1.1108608286401784,0.9007662578055315,-1.2111807769698208,-0.6092175276243809,-0.7884575634454619,-0.04213866254225322,-0.044584572649451204,-0.6909877855128163,-0.21636724249943431,0.01894006278042332,-0.5025147833023125,-0.1847985174253762,-0.07366186448319192,-0.8583252476660245,-0.4749307145008963
AllGestureWiimoteY,0.502897179551912,0.0,-0.7725212799763029,-0.16236406789140356,-0.7093616348418149,-0.10356571955464382,-0.4405430982981386,-0.4443576006244834,-0.46749077550460233,0.019341284486457385,-0.03989099325903517,0.06850190577647666,-0.7213536794288735,-0.7283313970171781,-0.040809905304028095,-0.05605024503580387,-1.3306191874204805,-0.1308679374158423,-0.6555849467626331,-0.5286891068846732,-0.9994562564793441,0.01600256481058017,-0.7163034130092187,-0.3388533844722025,-0.9822799104454056,-0.3295776548264619,-0.33219447438889815,-1.186802383479164,1.6070236185027327,-0.5938305973240736
AllGestureWiimoteZ,-0.6333818989650607,-0.7725212799763029,0.0,-0.041884578209955656,-0.36728612995945775,-0.4789928670081671,0.0667935847384364,0.10127239043771408,0.19383309781251284,-0.12702635340435145,-0.3447909331849807,-0.09400234358436022,0.013167550564613748,-0.026121942387113125,-0.664442943107469,-0.7087409455983463,-0.2379711296193337,-0.04736122484666404,0.20449670523559604,0.22282940076074909,-0.13616286101987887,-0.07342038802685953,-1.068185325819372,-0.293158556278523,-0.9180528467068837,-0.6400061789207218,-0.5361820323375617,-0.6754992524886028,0.7581420547127484,-0.6686156375527403
Car,-0.3077940608185017,-0.16236406789140356,-0.041884578209955656,0.0,-0.532468204255299,-0.31891103095951495,-0.06916947528900036,-0.13715785824857324,-0.14998176944583352,0.40499022060274475,0.2761343031639629,0.11524452209103293,0.5717827217568591,0.5944918120367931,-0.6020924697995733,-0.49188117392658576,-0.14457360650032913,-0.3545951585870887,0.09090741041814393,0.16363737318359795,-1.021538687323664,-0.08361320895330863,-0.6326261760877501,-1.3178969446938718,-0.3868367784441515,-1.1832451447622208,-0.25689668077594346,-0.6740159319717671,-0.018387049922205728,0.3342347645759745
ChlorineConcentration,0.3874501873382023,-0.7093616348418149,-0.36728612995945775,-0.532468204255299,0.0,-0.09592540242942953,0.9194983761242989,0.8793416204810047,0.893706533923395,-0.11295758985229729,-0.0025010407304062667,-0.3052654423950093,1.1139402796956248,1.1121706113066805,-0.49962964492230405,-0.4764501728632733,-0.3086559969627827,0.7395418430129902,0.5049443308850884,0.6592691673540304,0.11105522435308858,-0.7798797252423999,-0.7126123678253634,-0.6125641500824796,-0.8163469199009455,-0.42592601342320213,-0.1684378434899572,-0.4097014255780116,0.7122418905276219,0.8719945921442458
CinCECGTorso,-0.25356380069606227,-0.10356571955464382,-0.4789928670081671,-0.31891103095951495,-0.09592540242942953,0.0,0.27373145665444,0.2571753599205535,0.27242873141251356,-0.09198297988586634,-0.31192001725944773,-0.17374034088376977,0.40629233421443495,0.38581372078245274,-0.07075163621017434,0.06042231061576293,-0.061224853867887036,0.2677940274066346,-0.015104189454353024,0.11263411841359051,-0.13903923567840967,-0.18224890008452424,-0.2953506846412086,-0.04452028636128325,-0.42655144230853353,-0.460979646741038,-0.517853741505656,-0.3022641651858711,0.7619104877290458,0.05660015560919786
DodgerLoopDay,-1.0456876477606163,-0.4405430982981386,0.0667935847384364,-0.06916947528900036,0.9194983761242989,0.27373145665444,0.0,-1.6690822523729918,-1.6587371372217838,0.07793764472802941,0.20785599096377738,0.112154711199547,-1.4297571406597702,-1.4295588408936926,-0.6313073014641875,-0.6046411759948512,-0.47931188779028583,-1.4999030415020334,-1.2346230736206905,-1.3396094053754926,-1.049557652243343,0.34713963899081113,0.04081245029607656,0.30174040091019505,0.4595741027622421,-0.4024148611692673,0.05738459238785345,0.2717292767983348,-0.8620783093288068,-1.065704917908281
DodgerLoopGame,-1.03933350409043,-0.4443576006244834,0.10127239043771408,-0.13715785824857324,0.8793416204810047,0.2571753599205535,-1.6690822523729918,0.0,-1.6521569002441112,0.07404927446392694,0.19295005324608755,0.10331061478822966,-1.4142949162825438,-1.415505009101339,-0.6413218725426174,-0.6125215533056521,-0.474945885894917,-1.4924346271135331,-1.2310503775352197,-1.3326472066741077,-1.0464081063781625,0.3345928454294001,0.006809218656167343,0.2247775216220546,0.4356482722490986,-0.4534772029440226,0.03470816930659538,0.21642311427360678,-0.8624346067635806,-1.0305032378584371
DodgerLoopWeekend,-1.0220566817393182,-0.46749077550460233,0.19383309781251284,-0.14998176944583352,0.893706533923395,0.27242873141251356,-1.6587371372217838,-1.6521569002441112,0.0,0.0530312671563423,0.19600470761931887,0.11101352521284175,-1.3851138753555872,-1.3806274609211697,-0.6737068976283264,-0.6390146575653248,-0.4982352924021006,-1.4439059264282834,-1.2510356807005436,-1.3509695659008465,-1.1184516527665067,0.30882925842663833,-0.02385117792597284,0.21488703005916224,0.4347731350180946,-0.4344628066235816,0.09616442397059868,0.2134611624159058,-0.9038036940150289,-0.9844581656734093
Earthquakes,0.038683727523720395,0.019341284486457385,-0.12702635340435145,0.40499022060274475,-0.11295758985229729,-0.09198297988586634,0.07793764472802941,0.07404927446392694,0.0530312671563423,0.0,-0.17221248081453105,-0.09222310036536324,0.15635838009054598,0.1662371854933324,0.2824594628947697,0.32249824558900236,-0.07584928524454372,0.10709605829598169,-0.07063122003368645,-0.062493053453820085,0.17187944101834968,-0.09181631469102987,-0.0877972251279607,0.5780483778638543,-0.10846767690408417,-0.038274556032157375,-0.15634271114685064,0.0950878481337639,0.7390880487895722,-0.04077552515299592
FordA,-0.11367919713975198,-0.03989099325903517,-0.3447909331849807,0.2761343031639629,-0.0025010407304062667,-0.31192001725944773,0.20785599096377738,0.19295005324608755,0.19600470761931887,-0.17221248081453105,0.0,-0.6492368174268804,0.3563217289155575,0.3494415778498006,0.20296790315932062,0.22194627004808798,0.14386811991277038,0.1801469908921492,-0.07412081305308463,-0.022365557044805796,0.1182472042175505,-0.07534295348253553,-0.05656230476815535,0.3200880582483351,-0.3373932694016656,-0.09816467098161288,-0.43798832413915073,0.012173135920383294,0.46782846462926725,0.13731038774417148
FordB,-0.013945239243172662,0.06850190577647666,-0.09400234358436022,0.11524452209103293,-0.3052654423950093,-0.17374034088376977,0.112154711199547,0.10331061478822966,0.11101352521284175,-0.09222310036536324,-0.6492368174268804,0.0,0.21930592507941463,0.21910166779967066,0.059150218667836985,0.07206686435190329,0.09587246802829273,0.14231612810279323,-0.08678177361226677,-0.050225103518908576,0.1271445645770855,-0.4136687132003851,-0.16591538147113405,-0.07705550730488278,-0.18255550554889957,-0.06532131900882597,-0.40549533852190733,0.036661624446407456,0.3933693893897505,0.050986169399434525
FreezerRegularTrain,-0.5988282148905084,-0.7213536794288735,0.013167550564613748,0.5717827217568591,1.1139402796956248,0.40629233421443495,-1.4297571406597702,-1.4142949162825438,-1.3851138753555872,0.15635838009054598,0.3563217289155575,0.21930592507941463,0.0,-1.695537921419005,0.42159574857050086,0.4569636889084461,-0.6601916546371753,-1.194339578098199,-0.5791493449933782,-0.7075308450848499,-1.0776571633772054,0.673258520303416,0.8095269416842724,0.8974212601453928,0.38203664017829786,0.30341067372616976,0.2842135292740713,0.1313517051608479,0.30998729514313844,-1.0767348668676417
FreezerSmallTrain,-0.6516043320927419,-0.7283313970171781,-0.026121942387113125,0.5944918120367931,1.1121706113066805,0.38581372078245274,-1.4295588408936926,-1.415505009101339,-1.3806274609211697,0.1662371854933324,0.3494415778498006,0.21910166779967066,-1.695537921419005,0.0,0.37132812421236944,0.3952922314135263,-0.6169979700609303,-1.2073723221047001,-0.5894927376765448,-0.7082331207165802,-1.0211447981388533,0.6674816257029582,0.8321818659096563,0.8653809039127875,0.328520267588935,0.23970000634471247,0.30611566851772143,0.1050939267686433,0.27528867916312855,-1.0479240526226932
GesturePebbleZ1,-1.1502632117977782,-0.040809905304028095,-0.664442943107469,-0.6020924697995733,-0.49962964492230405,-0.07075163621017434,-0.6313073014641875,-0.6413218725426174,-0.6737068976283264,0.2824594628947697,0.20296790315932062,0.059150218667836985,0.42159574857050086,0.37132812421236944,0.0,-1.6194249668705762,1.0093627320391867,-0.9224078743106763,-0.5265850970390382,-0.65616414951568,0.35485195517081736,-0.4183463283689284,-1.1074504741132751,-0.8381018355753008,-0.619354422444195,-0.6213896517985412,-0.12384827808039396,-0.5331953946584258,-1.0021137476061168,0.4759544410388813
GesturePebbleZ2,-1.1108608286401784,-0.05605024503580387,-0.7087409455983463,-0.49188117392658576,-0.4764501728632733,0.06042231061576293,-0.6046411759948512,-0.6125215533056521,-0.6390146575653248,0.32249824558900236,0.22194627004808798,0.07206686435190329,0.4569636889084461,0.3952922314135263,-1.6194249668705762,0.0,0.8551856910929974,-0.9295162500031915,-0.42178358718056913,-0.5709180487148934,0.4335057864357888,-0.362122482915787,-1.1422063336184807,-0.7500607003127543,-0.6806784670012782,-0.5951042918035143,-0.1669435829759853,-0.7278140310387121,-0.9820073379156616,0.5925551498541838
InsectWingbeatSound,0.9007662578055315,-1.3306191874204805,-0.2379711296193337,-0.14457360650032913,-0.3086559969627827,-0.061224853867887036,-0.47931188779028583,-0.474945885894917,-0.4982352924021006,-0.07584928524454372,0.14386811991277038,0.09587246802829273,-0.6601916546371753,-0.6169979700609303,1.0093627320391867,0.8551856910929974,0.0,0.16806727759007076,-0.5805720316704646,-0.4706901682597455,-1.120408094942592,0.05614107809332384,-0.07874956289347558,0.07561909505058502,-0.6824187199706813,-0.24064561870523604,-0.31156422141281304,-0.9054958847442103,2.1445949301571527,-0.766320626520141
ItalyPowerDemand,-1.2111807769698208,-0.1308679374158423,-0.04736122484666404,-0.3545951585870887,0.7395418430129902,0.2677940274066346,-1.4999030415020334,-1.4924346271135331,-1.4439059264282834,0.10709605829598169,0.1801469908921492,0.14231612810279323,-1.194339578098199,-1.2073723221047001,-0.9224078743106763,-0.9295162500031915,0.16806727759007076,0.0,-0.9730473100819667,-1.1088101779246886,-0.7804611258362144,0.2858784736244117,-0.28968383168056616,0.002862072818659076,0.5197943956749986,-0.3983799390794642,0.11585706656270338,0.5811409890286751,-1.093708587503877,-0.823339418128483
Lightning2,-0.6092175276243809,-0.6555849467626331,0.20449670523559604,0.09090741041814393,0.5049443308850884,-0.015104189454353024,-1.2346230736206905,-1.2310503775352197,-1.2510356807005436,-0.07063122003368645,-0.07412081305308463,-0.08678177361226677,-0.5791493449933782,-0.5894927376765448,-0.5265850970390382,-0.42178358718056913,-0.5805720316704646,-0.9730473100819667,0.0,-1.626100368480727,-0.9024989509287531,0.1296263737653109,0.224126487294393,0.4989710946278877,0.1290594307836607,-0.19477451864393494,-0.4477254294272834,-0.035695665423564685,-0.8414067146072144,-0.6746167371805764
Lightning7,-0.7884575634454619,-0.5286891068846732,0.22282940076074909,0.16363737318359795,0.6592691673540304,0.11263411841359051,-1.3396094053754926,-1.3326472066741077,-1.3509695659008465,-0.062493053453820085,-0.022365557044805796,-0.050225103518908576,-0.7075308450848499,-0.7082331207165802,-0.65616414951568,-0.5709180487148934,-0.4706901682597455,-1.1088101779246886,-1.626100368480727,0.0,-0.8850602862786091,0.17357334029327118,0.2570288322160251,0.5223205716933876,0.2958892432748314,-0.16192738079614635,-0.3249465486836494,0.09911178392611754,-0.9637449583157547,-0.7178859126539769
MoteStrain,-0.04213866254225322,-0.9994562564793441,-0.13616286101987887,-1.021538687323664,0.11105522435308858,-0.13903923567840967,-1.049557652243343,-1.0464081063781625,-1.1184516527665067,0.17187944101834968,0.1182472042175505,0.1271445645770855,-1.0776571633772054,-1.0211447981388533,0.35485195517081736,0.4335057864357888,-1.120408094942592,-0.7804611258362144,-0.9024989509287531,-0.8850602862786091,0.0,0.13406196826018382,0.2700132111821722,-0.37958396601723726,-0.2916567754762591,-0.6434901036247359,-0.23967776636864943,-1.0955845070860717,0.5561381737549141,-0.850170957956104
Phoneme,-0.044584572649451204,0.01600256481058017,-0.07342038802685953,-0.08361320895330863,-0.7798797252423999,-0.18224890008452424,0.34713963899081113,0.3345928454294001,0.30882925842663833,-0.09181631469102987,-0.07534295348253553,-0.4136687132003851,0.673258520303416,0.6674816257029582,-0.4183463283689284,-0.362122482915787,0.05614107809332384,0.2858784736244117,0.1296263737653109,0.17357334029327118,0.13406196826018382,0.0,-0.4941776375201431,-0.39934590298830797,-0.4217228338404924,-0.2488075024453641,-0.2221670428201872,0.03151232313641838,0.5113860704444813,0.4674662765842956
PickupGestureWiimoteZ,-0.6909877855128163,-0.7163034130092187,-1.068185325819372,-0.6326261760877501,-0.7126123678253634,-0.2953506846412086,0.04081245029607656,0.006809218656167343,-0.02385117792597284,-0.0877972251279607,-0.05656230476815535,-0.16591538147113405,0.8095269416842724,0.8321818659096563,-1.1074504741132751,-1.1422063336184807,-0.07874956289347558,-0.28968383168056616,0.224126487294393,0.2570288322160251,0.2700132111821722,-0.4941776375201431,0.0,-0.8740481773171049,-1.028521525065101,-0.9333968625755331,-0.4453851657978794,-0.7945853408794149,0.4184707365637491,0.2856704994509298
Plane,-0.21636724249943431,-0.3388533844722025,-0.293158556278523,-1.3178969446938718,-0.6125641500824796,-0.04452028636128325,0.30174040091019505,0.2247775216220546,0.21488703005916224,0.5780483778638543,0.3200880582483351,-0.07705550730488278,0.8974212601453928,0.8653809039127875,-0.8381018355753008,-0.7500607003127543,0.07561909505058502,0.002862072818659076,0.4989710946278877,0.5223205716933876,-0.37958396601723726,-0.39934590298830797,-0.8740481773171049,0.0,-0.439566092856534,-0.9620326843459561,-0.07032122476961333,-0.40335929886071376,0.02340312886859798,0.7145970641610709
ShakeGestureWiimoteZ,0.01894006278042332,-0.9822799104454056,-0.9180528467068837,-0.3868367784441515,-0.8163469199009455,-0.42655144230853353,0.4595741027622421,0.4356482722490986,0.4347731350180946,-0.10846767690408417,-0.3373932694016656,-0.18255550554889957,0.38203664017829786,0.328520267588935,-0.619354422444195,-0.6806784670012782,-0.6824187199706813,0.5197943956749986,0.1290594307836607,0.2958892432748314,-0.2916567754762591,-0.4217228338404924,-1.028521525065101,-0.439566092856534,0.0,-0.6388533383789066,-0.4703414949583734,-0.9400844747431996,1.07619546029575,-0.22102432276430484
SonyAIBORobotSurface1,-0.5025147833023125,-0.3295776548264619,-0.6400061789207218,-1.1832451447622208,-0.42592601342320213,-0.460979646741038,-0.4024148611692673,-0.4534772029440226,-0.4344628066235816,-0.038274556032157375,-0.09816467098161288,-0.06532131900882597,0.30341067372616976,0.23970000634471247,-0.6213896517985412,-0.5951042918035143,-0.24064561870523604,-0.3983799390794642,-0.19477451864393494,-0.16192738079614635,-0.6434901036247359,-0.2488075024453641,-0.9333968625755331,-0.9620326843459561,-0.6388533383789066,0.0,-0.8195077123992877,-0.7161962589525531,0.38151324429234174,-0.3392324642035752
SonyAIBORobotSurface2,-0.1847985174253762,-0.33219447438889815,-0.5361820323375617,-0.25689668077594346,-0.1684378434899572,-0.517853741505656,0.05738459238785345,0.03470816930659538,0.09616442397059868,-0.15634271114685064,-0.43798832413915073,-0.40549533852190733,0.2842135292740713,0.30611566851772143,-0.12384827808039396,-0.1669435829759853,-0.31156422141281304,0.11585706656270338,-0.4477254294272834,-0.3249465486836494,-0.23967776636864943,-0.2221670428201872,-0.4453851657978794,-0.07032122476961333,-0.4703414949583734,-0.8195077123992877,0.0,-0.4116743931737817,0.4628315837890841,-0.35595106600196047
StarLightCurves,-0.07366186448319192,-1.186802383479164,-0.6754992524886028,-0.6740159319717671,-0.4097014255780116,-0.3022641651858711,0.2717292767983348,0.21642311427360678,0.2134611624159058,0.0950878481337639,0.012173135920383294,0.036661624446407456,0.1313517051608479,0.1050939267686433,-0.5331953946584258,-0.7278140310387121,-0.9054958847442103,0.5811409890286751,-0.035695665423564685,0.09911178392611754,-1.0955845070860717,0.03151232313641838,-0.7945853408794149,-0.40335929886071376,-0.9400844747431996,-0.7161962589525531,-0.4116743931737817,0.0,0.8942607455609358,-0.3547148078788797
Trace,-0.8583252476660245,1.6070236185027327,0.7581420547127484,-0.018387049922205728,0.7122418905276219,0.7619104877290458,-0.8620783093288068,-0.8624346067635806,-0.9038036940150289,0.7390880487895722,0.46782846462926725,0.3933693893897505,0.30998729514313844,0.27528867916312855,-1.0021137476061168,-0.9820073379156616,2.1445949301571527,-1.093708587503877,-0.8414067146072144,-0.9637449583157547,0.5561381737549141,0.5113860704444813,0.4184707365637491,0.02340312886859798,1.07619546029575,0.38151324429234174,0.4628315837890841,0.8942607455609358,0.0,0.7150620483686305
Wafer,-0.4749307145008963,-0.5938305973240736,-0.6686156375527403,0.3342347645759745,0.8719945921442458,0.05660015560919786,-1.065704917908281,-1.0305032378584371,-0.9844581656734093,-0.04077552515299592,0.13731038774417148,0.050986169399434525,-1.0767348668676417,-1.0479240526226932,0.4759544410388813,0.5925551498541838,-0.766320626520141,-0.823339418128483,-0.6746167371805764,-0.7178859126539769,-0.850170957956104,0.4674662765842956,0.2856704994509298,0.7145970641610709,-0.22102432276430484,-0.3392324642035752,-0.35595106600196047,-0.3547148078788797,0.7150620483686305,0.0
