dataset,CNN,LSTM,ROCKET,HC2
AllGestureWiimoteX,0.1910714285714285,0.1396428571428571,,
AllGestureWiimoteY,0.1935714285714285,0.165,,
AllGestureWiimoteZ,0.21625,0.1523214285714285,,
Car,0.25,0.2416666666666666,0.9,0.9
ChlorineConcentration,0.2523763020833333,0.3520833333333333,0.8119791666666667,0.7588541666666667
CinCECGTorso,0.2730978260869565,0.2831521739130435,0.8268115942028985,1.0
DodgerLoopDay,0.1671875,0.1671875,,
DodgerLoopGame,0.5253623188405797,0.473731884057971,,
DodgerLoopWeekend,0.2608695652173913,0.6711956521739131,,
Earthquakes,0.6528776978417267,0.6151079136690647,0.7410071942446043,0.7482014388489209
FordA,0.9327651515151516,0.715814393939394,0.9348484848484848,0.956060606060606
FordB,0.7816358024691358,0.6385802469135803,0.8098765432098766,0.837037037037037
FreezerRegularTrain,0.5253070175438597,0.6873684210526315,0.9971929824561404,0.9992982456140352
FreezerSmallTrain,0.5527631578947368,0.6017543859649123,0.9512280701754386,0.9978947368421052
GesturePebbleZ1,0.1962209302325581,0.2347383720930232,,
GesturePebbleZ2,0.2041139240506329,0.2120253164556962,,
InsectWingbeatSound,0.1378787878787878,0.1147727272727272,0.6656565656565656,0.6606060606060606
ItalyPowerDemand,0.7742954324586978,0.5949951409135082,0.9698736637512148,0.9698736637512148
Lightning2,0.5389344262295082,0.5389344262295082,0.7868852459016393,0.7868852459016393
Lightning7,0.2482876712328767,0.1900684931506849,0.821917808219178,0.8082191780821918
MoteStrain,0.4822284345047923,0.5943490415335463,0.9169329073482428,0.9688498402555912
Phoneme,0.0673786919831223,0.0372494725738396,0.2805907172995781,0.3665611814345991
PickupGestureWiimoteZ,0.1325,0.095,,
Plane,0.2273809523809523,0.2964285714285714,1.0,1.0
ShakeGestureWiimoteZ,0.185,0.12,,
SonyAIBORobotSurface1,0.8217554076539102,0.6295757071547421,0.9251247920133112,0.9151414309484192
SonyAIBORobotSurface2,0.5422350472193075,0.6382476390346274,0.919202518363064,0.9233997901364114
StarLightCurves,0.4043224866440019,0.7347771976687713,0.9810587663914522,0.9828800388538124
Trace,0.2925,0.355,1.0,1.0
Wafer,0.8087280986372485,0.8539097988319273,0.9983776768332252,1.0
