dataset,acc,f1_macro,fit_seconds
AllGestureWiimoteX,0.6928571428571428,0.6956519534081169,0.9982383251190186
AllGestureWiimoteY,0.7514285714285714,0.7512494076443129,0.4261305332183838
AllGestureWiimoteZ,0.6942857142857143,0.6915626008376786,0.44623875617980957
Car,0.9166666666666666,0.917948717948718,0.19343876838684082
ChlorineConcentration,0.75390625,0.7094372017518111,0.931297779083252
CinCECGTorso,0.8652173913043478,0.8659802777854986,2.1607799530029297
DodgerLoopDay,0.65,0.6347349284541403,0.30148816108703613
DodgerLoopGame,0.8623188405797102,0.8617307388071507,0.2569136619567871
DodgerLoopWeekend,0.9855072463768116,0.9815359914369816,0.23553776741027832
Earthquakes,0.7410071942446043,0.4513157894736842,0.588029146194458
FordA,0.9507575757575758,0.9507002801120448,10.053781032562256
FordB,0.8123456790123457,0.8123273722783506,8.99161958694458
FreezerRegularTrain,0.9996491228070176,0.9996491227638193,0.7764682769775391
FreezerSmallTrain,0.972280701754386,0.9722625037713263,0.8825757503509521
GesturePebbleZ1,0.8837209302325582,0.8812986841300262,0.3262345790863037
GesturePebbleZ2,0.8037974683544303,0.8010902611537584,0.3112337589263916
InsectWingbeatSound,0.6712121212121213,0.6645571302577591,0.6598303318023682
ItalyPowerDemand,0.9640427599611273,0.9640415373935711,0.18785405158996582
Lightning2,0.7540983606557377,0.7497949138638228,0.28092527389526367
Lightning7,0.8082191780821918,0.8105259952951432,0.22736501693725586
MoteStrain,0.9257188498402555,0.9247918366239649,0.26927971839904785
Phoneme,0.2921940928270042,0.14140176669507237,1.6119091510772705
PickupGestureWiimoteZ,0.78,0.7855050505050506,0.20385384559631348
Plane,1.0,1.0,0.20932912826538086
ShakeGestureWiimoteZ,0.84,0.8334090909090909,0.19945001602172852
SonyAIBORobotSurface1,0.8935108153078203,0.8933262335818246,0.18309521675109863
SonyAIBORobotSurface2,0.9223504721930745,0.9197044222799107,0.21472430229187012
StarLightCurves,0.9822729480330258,0.973336440199239,6.024717092514038
Trace,1.0,1.0,0.20419526100158691
Wafer,0.9993510707332901,0.9983121577217963,1.5445659160614014
