dataset,HC2,ResNet,ROCKET,InceptionTime,source
Car,0.9,0.95,0.9,0.9,"aeon.benchmarking.results_loaders.get_estimator_results (published reference, resample 0)"
ChlorineConcentration,0.7588541666666667,0.8479166666666667,0.8119791666666667,0.8760416666666667,"aeon.benchmarking.results_loaders.get_estimator_results (published reference, resample 0)"
CinCECGTorso,1.0,0.8434782608695652,0.8268115942028985,0.8528985507246377,"aeon.benchmarking.results_loaders.get_estimator_results (published reference, resample 0)"
Earthquakes,0.7482014388489209,0.7122302158273381,0.7410071942446043,0.7122302158273381,"aeon.benchmarking.results_loaders.get_estimator_results (published reference, resample 0)"
FordA,0.956060606060606,0.943939393939394,0.9348484848484848,0.9606060606060606,"aeon.benchmarking.results_loaders.get_estimator_results (published reference, resample 0)"
FordB,0.837037037037037,0.808641975308642,0.8098765432098766,0.8493827160493828,"aeon.benchmarking.results_loaders.get_estimator_results (published reference, resample 0)"
FreezerRegularTrain,0.9992982456140352,0.9989473684210526,0.9971929824561404,0.996842105263158,"aeon.benchmarking.results_loaders.get_estimator_results (published reference, resample 0)"
FreezerSmallTrain,0.9978947368421052,0.96,0.9512280701754386,0.8459649122807018,"aeon.benchmarking.results_loaders.get_estimator_results (published reference, resample 0)"
InsectWingbeatSound,0.6606060606060606,0.4924242424242424,0.6656565656565656,0.6368686868686869,"aeon.benchmarking.results_loaders.get_estimator_results (published reference, resample 0)"
ItalyPowerDemand,0.9698736637512148,0.9650145772594751,0.9698736637512148,0.9659863945578232,"aeon.benchmarking.results_loaders.get_estimator_results (published reference, resample 0)"
Lightning2,0.7868852459016393,0.8032786885245902,0.7868852459016393,0.8360655737704918,"aeon.benchmarking.results_loaders.get_estimator_results (published reference, resample 0)"
Lightning7,0.8082191780821918,0.8493150684931506,0.821917808219178,0.7945205479452054,"aeon.benchmarking.results_loaders.get_estimator_results (published reference, resample 0)"
MoteStrain,0.9688498402555912,0.9329073482428116,0.9169329073482428,0.8937699680511182,"aeon.benchmarking.results_loaders.get_estimator_results (published reference, resample 0)"
Phoneme,0.3665611814345991,0.3270042194092827,0.2805907172995781,0.3370253164556962,"aeon.benchmarking.results_loaders.get_estimator_results (published reference, resample 0)"
Plane,1.0,1.0,1.0,1.0,"aeon.benchmarking.results_loaders.get_estimator_results (published reference, resample 0)"
SonyAIBORobotSurface1,0.9151414309484192,0.956738768718802,0.9251247920133112,0.8785357737104825,"aeon.benchmarking.results_loaders.get_estimator_results (published reference, resample 0)"
SonyAIBORobotSurface2,0.9233997901364114,0.9737670514165792,0.919202518363064,0.9517313746065058,"aeon.benchmarking.results_loaders.get_estimator_results (published reference, resample 0)"
StarLightCurves,0.9828800388538124,0.9698882952889752,0.9810587663914522,0.9783875667799904,"aeon.benchmarking.results_loaders.get_estimator_results (published reference, resample 0)"
Trace,1.0,1.0,1.0,1.0,"aeon.benchmarking.results_loaders.get_estimator_results (published reference, resample 0)"
Wafer,1.0,0.9983776768332252,0.9983776768332252,0.99870214146658,"aeon.benchmarking.results_loaders.get_estimator_results (published reference, resample 0)"
