dataset,acc_mean,acc_std,acc_min,acc_max,f1_mean,f1_std,delta_vs_joint_mean,n_seeds
AllGestureWiimoteX,0.47732142857142856,0.048266978009616025,0.37,0.5271428571428571,0.4541540710121858,0.05613861184453585,0.28625000000000006,8
AllGestureWiimoteY,0.5157142857142857,0.0233617763612313,0.4857142857142857,0.5485714285714286,0.49777161318841184,0.029571413287640628,0.32214285714285723,8
AllGestureWiimoteZ,0.45303571428571426,0.03951187222401932,0.36857142857142855,0.4857142857142857,0.4173046256360219,0.03404798839250123,0.23678571428571427,8
Car,0.3020833333333333,0.1454160697217929,0.06666666666666667,0.5,0.18406733704634626,0.12228405641949318,0.052083333333333336,8
ChlorineConcentration,0.38727213541666666,0.07363412411072362,0.28854166666666664,0.47239583333333335,0.36831054585448186,0.06412992576833809,0.13489583333333338,8
CinCECGTorso,0.3141304347826087,0.05009368005635544,0.22971014492753622,0.3717391304347826,0.25015581699986794,0.05638627050292006,0.041032608695652215,8
DodgerLoopDay,0.4,0.04064216670264659,0.35,0.4625,0.3221284839759757,0.04754710569210965,0.2328125,8
DodgerLoopGame,0.5860507246376812,0.04014808532250895,0.5289855072463768,0.6376811594202898,0.5016191149949797,0.1015794997825758,0.060688405797101455,8
DodgerLoopWeekend,0.8532608695652174,0.08632882488799,0.6811594202898551,0.9130434782608695,0.830553100770791,0.08267685832856012,0.592391304347826,8
Earthquakes,0.5872302158273381,0.05931747073249023,0.4892086330935252,0.6546762589928058,0.5554546847110363,0.044602426922512615,-0.06564748201438853,8
FordA,0.9446022727272727,0.006052991699458084,0.9371212121212121,0.956060606060606,0.9445622577129551,0.006061409251619263,0.011837121212121104,8
FordB,0.8223765432098765,0.012229390590221585,0.8049382716049382,0.837037037037037,0.8220932240918036,0.012286783776564718,0.04074074074074076,8
FreezerRegularTrain,0.7784649122807018,0.012297071081100378,0.7673684210526316,0.8031578947368421,0.777591266980947,0.012731338056984638,0.2531578947368421,8
FreezerSmallTrain,0.6716228070175438,0.11860634348304319,0.4792982456140351,0.7635087719298246,0.6283553095033034,0.18720563839092647,0.11885964912280701,8
GesturePebbleZ1,0.4840116279069767,0.05694368150483253,0.4127906976744186,0.563953488372093,0.4696196079575395,0.05636760872484785,0.28779069767441867,8
GesturePebbleZ2,0.5031645569620253,0.07736770873519494,0.379746835443038,0.6012658227848101,0.4925989608327652,0.08046379374890242,0.29905063291139244,8
InsectWingbeatSound,0.3830808080808081,0.03478097482412203,0.3297979797979798,0.4409090909090909,0.34129196271584794,0.046258793129124155,0.2452020202020203,8
ItalyPowerDemand,0.9461856171039844,0.01275518467807397,0.9212827988338192,0.9620991253644315,0.9461574609978723,0.012801638379227886,0.17189018464528666,8
Lightning2,0.6618852459016393,0.04287217714056862,0.6065573770491803,0.7213114754098361,0.6531995944101817,0.04682221956662558,0.1229508196721312,8
Lightning7,0.4674657534246575,0.06013036619544644,0.3972602739726027,0.547945205479452,0.450050617366651,0.06410103077772224,0.2191780821917808,8
MoteStrain,0.7991214057507987,0.08259397265559917,0.6078274760383386,0.8793929712460063,0.7941068800655655,0.0909291880000677,0.3168929712460064,8
Phoneme,0.09711234177215189,0.0332672172935532,0.0580168776371308,0.14767932489451477,0.05796013580185959,0.012033685963630573,0.0297336497890296,8
PickupGestureWiimoteZ,0.2325,0.05750776345105814,0.14,0.28,0.17508636103447983,0.0662858102961659,0.1,8
Plane,0.9654761904761905,0.048277756995719456,0.8476190476190476,0.9904761904761905,0.9625863263212883,0.05781829764786412,0.7380952380952381,8
ShakeGestureWiimoteZ,0.41500000000000004,0.12727922061357858,0.22,0.56,0.37308360393158985,0.14081598703517367,0.23000000000000004,8
SonyAIBORobotSurface1,0.9089018302828619,0.04393030000876195,0.8552412645590682,0.978369384359401,0.907649345422625,0.044349374378193564,0.08714642262895171,8
SonyAIBORobotSurface2,0.8570304302203567,0.02772123587304321,0.8184679958027282,0.8992654774396642,0.8556987051647121,0.02711915118386784,0.31479538300104926,8
StarLightCurves,0.9023190869354055,0.028270436968446885,0.8682612918892666,0.9477901894123361,0.8766444211197311,0.03431370797252371,0.49799660029140363,8
Trace,0.84,0.12317235311314212,0.7,1.0,0.8156939369497609,0.14400651040556015,0.5475,8
Wafer,0.989495457495133,0.0048714095503725515,0.9800454250486696,0.9938351719662557,0.9731884735145271,0.012087474766373042,0.18076735885788453,8
