model,seed,dataset,passes_done,best_pass,test_acc,test_f1_macro,base_test_acc,delta_vs_joint
cnn,7,AllGestureWiimoteX,10,10,0.37,0.3345972679570579,0.1910714285714285,0.1789285714285715
cnn,7,AllGestureWiimoteY,10,10,0.48714285714285716,0.4676442502793967,0.1935714285714285,0.29357142857142865
cnn,7,AllGestureWiimoteZ,10,7,0.36857142857142855,0.34802725092775827,0.21625,0.15232142857142855
cnn,7,Car,6,1,0.23333333333333334,0.1206896551724138,0.25,-0.016666666666666663
cnn,7,ChlorineConcentration,8,3,0.47239583333333335,0.4505833664328623,0.2523763020833333,0.22001953125000007
cnn,7,CinCECGTorso,10,10,0.3717391304347826,0.3183025356599707,0.2730978260869565,0.09864130434782614
cnn,7,DodgerLoopDay,10,10,0.425,0.3523940345368917,0.1671875,0.2578125
cnn,7,DodgerLoopGame,10,10,0.5797101449275363,0.46454375167246453,0.5253623188405797,0.05434782608695654
cnn,7,DodgerLoopWeekend,10,10,0.9057971014492754,0.8864197530864197,0.2608695652173913,0.644927536231884
cnn,7,Earthquakes,9,4,0.5107913669064749,0.49160929432013767,0.6528776978417267,-0.1420863309352518
cnn,7,FordA,8,3,0.9416666666666667,0.9416422504594726,0.9327651515151516,0.00890151515151505
cnn,7,FordB,10,7,0.8234567901234567,0.8231265508684864,0.7816358024691358,0.04182098765432096
cnn,7,FreezerRegularTrain,10,10,0.7747368421052632,0.773814445020234,0.5253070175438597,0.2494298245614035
cnn,7,FreezerSmallTrain,10,10,0.7042105263157895,0.7033778662639192,0.5527631578947368,0.15144736842105266
cnn,7,GesturePebbleZ1,10,9,0.4127906976744186,0.389888569676782,0.1962209302325581,0.21656976744186052
cnn,7,GesturePebbleZ2,10,10,0.379746835443038,0.36723435261864784,0.2041139240506329,0.1756329113924051
cnn,7,InsectWingbeatSound,10,10,0.3297979797979798,0.2756288196820356,0.1378787878787878,0.19191919191919202
cnn,7,ItalyPowerDemand,10,8,0.9494655004859086,0.9494444444444444,0.7742954324586978,0.1751700680272108
cnn,7,Lightning2,10,6,0.639344262295082,0.6345315904139434,0.5389344262295082,0.10040983606557385
cnn,7,Lightning7,10,10,0.547945205479452,0.5491403834260976,0.2482876712328767,0.2996575342465753
cnn,7,MoteStrain,10,10,0.8218849840255591,0.8117131984060134,0.4822284345047923,0.3396565495207668
cnn,7,Phoneme,10,10,0.06276371308016877,0.03716564720159975,0.0673786919831223,-0.004614978902953523
cnn,7,PickupGestureWiimoteZ,10,10,0.14,0.04791965566714491,0.1325,0.007500000000000007
cnn,7,Plane,10,10,0.9714285714285714,0.9722346618898344,0.2273809523809523,0.7440476190476191
cnn,7,ShakeGestureWiimoteZ,10,10,0.22,0.16419944789510005,0.185,0.035
cnn,7,SonyAIBORobotSurface1,7,2,0.9417637271214643,0.9396684994134636,0.8217554076539102,0.12000831946755408
cnn,7,SonyAIBORobotSurface2,10,10,0.8310598111227702,0.8303417314911568,0.5422350472193075,0.2888247639034627
cnn,7,StarLightCurves,10,10,0.9038368139873725,0.8767525957469138,0.4043224866440019,0.4995143273433706
cnn,7,Trace,10,10,0.7,0.6807065217391304,0.2925,0.4075
cnn,7,Wafer,10,6,0.9800454250486696,0.9503508930588025,0.8087280986372485,0.17131732641142117
cnn,21,AllGestureWiimoteX,10,10,0.49714285714285716,0.48747721031961316,0.1910714285714285,0.30607142857142866
cnn,21,AllGestureWiimoteY,10,10,0.4857142857142857,0.4455403013452253,0.1935714285714285,0.2921428571428572
cnn,21,AllGestureWiimoteZ,10,10,0.47,0.42921883714837794,0.21625,0.25375
cnn,21,Car,6,1,0.21666666666666667,0.08904109589041095,0.25,-0.033333333333333326
cnn,21,ChlorineConcentration,6,1,0.33515625,0.3360656746678252,0.2523763020833333,0.08277994791666671
cnn,21,CinCECGTorso,10,10,0.36884057971014494,0.3104963041923616,0.2730978260869565,0.09574275362318846
cnn,21,DodgerLoopDay,10,10,0.425,0.37222222222222223,0.1671875,0.2578125
cnn,21,DodgerLoopGame,10,10,0.5579710144927537,0.42164204740638955,0.5253623188405797,0.03260869565217395
cnn,21,DodgerLoopWeekend,10,10,0.8985507246376812,0.8785516721146593,0.2608695652173913,0.6376811594202898
cnn,21,Earthquakes,6,1,0.4892086330935252,0.48825512056002074,0.6528776978417267,-0.16366906474820148
cnn,21,FordA,9,4,0.9484848484848485,0.948458225667528,0.9327651515151516,0.015719696969696884
cnn,21,FordB,8,3,0.8271604938271605,0.8271604938271605,0.7816358024691358,0.04552469135802473
cnn,21,FreezerRegularTrain,7,2,0.7673684210526316,0.7673051372173731,0.5253070175438597,0.24206140350877192
cnn,21,FreezerSmallTrain,10,10,0.7624561403508772,0.7624554092194805,0.5527631578947368,0.20969298245614032
cnn,21,GesturePebbleZ1,10,10,0.43023255813953487,0.43292316416570703,0.1962209302325581,0.23401162790697677
cnn,21,GesturePebbleZ2,10,10,0.3987341772151899,0.3817907162988569,0.2041139240506329,0.194620253164557
cnn,21,InsectWingbeatSound,10,10,0.36515151515151517,0.2936617026143259,0.1378787878787878,0.22727272727272738
cnn,21,ItalyPowerDemand,10,10,0.9212827988338192,0.9211111395057627,0.7742954324586978,0.14698736637512144
cnn,21,Lightning2,6,1,0.6065573770491803,0.5812356979405034,0.5389344262295082,0.06762295081967218
cnn,21,Lightning7,10,8,0.4383561643835616,0.4139873818949557,0.2482876712328767,0.19006849315068491
cnn,21,MoteStrain,10,10,0.7883386581469649,0.787801360378885,0.4822284345047923,0.3061102236421726
cnn,21,Phoneme,10,10,0.13871308016877637,0.07232256126226815,0.0673786919831223,0.07133438818565407
cnn,21,PickupGestureWiimoteZ,10,10,0.16,0.17781512605042016,0.1325,0.027499999999999997
cnn,21,Plane,10,10,0.9904761904761905,0.9907834101382489,0.2273809523809523,0.7630952380952383
cnn,21,ShakeGestureWiimoteZ,10,10,0.5,0.45001165501165497,0.185,0.315
cnn,21,SonyAIBORobotSurface1,10,9,0.9234608985024958,0.922664204990489,0.8217554076539102,0.1017054908485856
cnn,21,SonyAIBORobotSurface2,6,1,0.8457502623294858,0.8445997437561357,0.5422350472193075,0.3035152151101783
cnn,21,StarLightCurves,10,10,0.9284847013113162,0.9081024763270668,0.4043224866440019,0.5241622146673144
cnn,21,Trace,10,10,0.95,0.9416294088425237,0.2925,0.6575
cnn,21,Wafer,10,6,0.987183646982479,0.9676664093689566,0.8087280986372485,0.17845554834523047
cnn,42,AllGestureWiimoteX,10,10,0.4828571428571429,0.4739591486513521,0.1910714285714285,0.29178571428571437
cnn,42,AllGestureWiimoteY,10,10,0.5114285714285715,0.4989663312453773,0.1935714285714285,0.31785714285714295
cnn,42,AllGestureWiimoteZ,10,10,0.4757142857142857,0.435343375736512,0.21625,0.2594642857142857
cnn,42,Car,10,10,0.4,0.2857142857142857,0.25,0.15000000000000002
cnn,42,ChlorineConcentration,7,2,0.28854166666666664,0.27482180928773636,0.2523763020833333,0.03616536458333336
cnn,42,CinCECGTorso,10,10,0.28840579710144926,0.24883738856292167,0.2730978260869565,0.015307971014492772
cnn,42,DodgerLoopDay,7,2,0.35,0.25702227379246007,0.1671875,0.1828125
cnn,42,DodgerLoopGame,10,10,0.6086956521739131,0.6079545454545454,0.5253623188405797,0.08333333333333337
cnn,42,DodgerLoopWeekend,10,10,0.9130434782608695,0.8910526315789473,0.2608695652173913,0.6521739130434783
cnn,42,Earthquakes,10,5,0.6258992805755396,0.6035541904344011,0.6528776978417267,-0.026978417266187105
cnn,42,FordA,10,6,0.9424242424242424,0.9423860182719941,0.9327651515151516,0.009659090909090784
cnn,42,FordB,6,1,0.8049382716049382,0.8045522018802573,0.7816358024691358,0.023302469135802473
cnn,42,FreezerRegularTrain,10,10,0.7856140350877193,0.7850729401728032,0.5253070175438597,0.26030701754385965
cnn,42,FreezerSmallTrain,10,10,0.7568421052631579,0.7538734662499278,0.5527631578947368,0.20407894736842103
cnn,42,GesturePebbleZ1,10,10,0.436046511627907,0.41645962291963956,0.1962209302325581,0.23982558139534887
cnn,42,GesturePebbleZ2,10,10,0.5569620253164557,0.561057243626069,0.2041139240506329,0.3528481012658228
cnn,42,InsectWingbeatSound,10,10,0.36262626262626263,0.31812612498769943,0.1378787878787878,0.22474747474747483
cnn,42,ItalyPowerDemand,10,10,0.9484936831875608,0.9484919319421423,0.7742954324586978,0.17419825072886297
cnn,42,Lightning2,10,10,0.6721311475409836,0.6677559912854031,0.5389344262295082,0.13319672131147542
cnn,42,Lightning7,6,1,0.4383561643835616,0.4451231527093596,0.2482876712328767,0.19006849315068491
cnn,42,MoteStrain,10,10,0.8075079872204473,0.8071880493551358,0.4822284345047923,0.32527955271565495
cnn,42,Phoneme,10,8,0.11023206751054852,0.05988887659211649,0.0673786919831223,0.04285337552742623
cnn,42,PickupGestureWiimoteZ,6,1,0.22,0.18968253968253967,0.1325,0.0875
cnn,42,Plane,10,10,0.9714285714285714,0.9722346618898344,0.2273809523809523,0.7440476190476191
cnn,42,ShakeGestureWiimoteZ,10,10,0.56,0.553051948051948,0.185,0.37500000000000006
cnn,42,SonyAIBORobotSurface1,10,10,0.8685524126455907,0.8630943970749796,0.8217554076539102,0.04679700499168049
cnn,42,SonyAIBORobotSurface2,10,10,0.8184679958027282,0.8179259087470527,0.5422350472193075,0.27623294858342073
cnn,42,StarLightCurves,10,10,0.8703254006799417,0.8485597725711508,0.4043224866440019,0.4660029140359398
cnn,42,Trace,10,10,0.75,0.7081470442126179,0.2925,0.4575
cnn,42,Wafer,10,7,0.9931862426995457,0.9826217707148832,0.8087280986372485,0.1844581440622972
cnn,63,AllGestureWiimoteX,10,10,0.52,0.5078884258495783,0.1910714285714285,0.3289285714285715
cnn,63,AllGestureWiimoteY,10,10,0.5185714285714286,0.5040960504078278,0.1935714285714285,0.32500000000000007
cnn,63,AllGestureWiimoteZ,10,10,0.4614285714285714,0.4457445876935271,0.21625,0.2451785714285714
cnn,63,Car,10,10,0.06666666666666667,0.04351351351351351,0.25,-0.18333333333333335
cnn,63,ChlorineConcentration,10,9,0.31666666666666665,0.29931179988886164,0.2523763020833333,0.06429036458333337
cnn,63,CinCECGTorso,6,1,0.22971014492753622,0.18961365486574794,0.2730978260869565,-0.043387681159420266
cnn,63,DodgerLoopDay,10,10,0.375,0.31292517006802717,0.1671875,0.2078125
cnn,63,DodgerLoopGame,10,10,0.5289855072463768,0.35942298078983076,0.5253623188405797,0.0036231884057971175
cnn,63,DodgerLoopWeekend,10,10,0.7608695652173914,0.7463659147869675,0.2608695652173913,0.5
cnn,63,Earthquakes,8,3,0.5827338129496403,0.5637445887445888,0.6528776978417267,-0.07014388489208634
cnn,63,FordA,10,5,0.9462121212121212,0.9462083856833492,0.9327651515151516,0.013446969696969568
cnn,63,FordB,10,6,0.8345679012345679,0.8345517624032828,0.7816358024691358,0.052932098765432145
cnn,63,FreezerRegularTrain,10,10,0.7673684210526316,0.767367017664988,0.5253070175438597,0.24206140350877192
cnn,63,FreezerSmallTrain,10,10,0.7635087719298246,0.7634710321277485,0.5527631578947368,0.21074561403508774
cnn,63,GesturePebbleZ1,10,10,0.563953488372093,0.5525833386411368,0.1962209302325581,0.3677325581395349
cnn,63,GesturePebbleZ2,10,10,0.5316455696202531,0.5210307686977678,0.2041139240506329,0.3275316455696202
cnn,63,InsectWingbeatSound,10,10,0.37424242424242427,0.35998521974801323,0.1378787878787878,0.23636363636363647
cnn,63,ItalyPowerDemand,10,10,0.9387755102040817,0.9387734285349993,0.7742954324586978,0.16448007774538387
cnn,63,Lightning2,10,10,0.7213114754098361,0.7136150234741784,0.5389344262295082,0.18237704918032793
cnn,63,Lightning7,10,10,0.3972602739726027,0.3907289535860965,0.2482876712328767,0.148972602739726
cnn,63,MoteStrain,10,10,0.8793929712460063,0.8786945476968249,0.4822284345047923,0.39716453674121405
cnn,63,Phoneme,10,10,0.07383966244725738,0.06034203938718156,0.0673786919831223,0.006460970464135088
cnn,63,PickupGestureWiimoteZ,10,10,0.28,0.24575643654591026,0.1325,0.14750000000000002
cnn,63,Plane,10,10,0.8476190476190476,0.8207758182806526,0.2273809523809523,0.6202380952380953
cnn,63,ShakeGestureWiimoteZ,10,10,0.34,0.2883882783882784,0.185,0.15500000000000003
cnn,63,SonyAIBORobotSurface1,6,1,0.940099833610649,0.9396303488917164,0.8217554076539102,0.11834442595673877
cnn,63,SonyAIBORobotSurface2,10,10,0.8751311647429171,0.8734450831316279,0.5422350472193075,0.3328961175236096
cnn,63,StarLightCurves,9,4,0.9204711024769305,0.8980360442438032,0.4043224866440019,0.5161486158329287
cnn,63,Trace,10,10,0.86,0.8493589743589743,0.2925,0.5675
cnn,63,Wafer,7,2,0.9931862426995457,0.9825315277018685,0.8087280986372485,0.1844581440622972
cnn,84,AllGestureWiimoteX,10,10,0.47714285714285715,0.4602564923904233,0.1910714285714285,0.28607142857142864
cnn,84,AllGestureWiimoteY,10,10,0.5485714285714286,0.5328769130488276,0.1935714285714285,0.3550000000000001
cnn,84,AllGestureWiimoteZ,10,10,0.42142857142857143,0.3815497978239567,0.21625,0.20517857142857143
cnn,84,Car,10,10,0.23333333333333334,0.0945945945945946,0.25,-0.016666666666666663
cnn,84,ChlorineConcentration,10,6,0.4434895833333333,0.43227612130320203,0.2523763020833333,0.19111328125000004
cnn,84,CinCECGTorso,10,10,0.33405797101449275,0.2861687453878268,0.2730978260869565,0.060960144927536264
