dataset,acc_mean,acc_std,acc_min,acc_max,f1_mean,f1_std,delta_vs_joint_mean,n_seeds
AllGestureWiimoteX,0.5326785714285714,0.03535276204565292,0.45571428571428574,0.5785714285714286,0.5172993164122267,0.03552585858359985,0.34160714285714294,8
AllGestureWiimoteY,0.55875,0.016242289042889598,0.5328571428571428,0.5771428571428572,0.5559580150889694,0.013932911354544355,0.36517857142857146,8
AllGestureWiimoteZ,0.5151785714285714,0.03223399777013235,0.4542857142857143,0.5657142857142857,0.48939184098061234,0.02933574547953783,0.29892857142857143,8
Car,0.3104166666666667,0.11406538781949897,0.18333333333333332,0.5,0.19031025489229123,0.09930300541590721,0.060416666666666674,8
ChlorineConcentration,0.4646809895833333,0.046252257538713225,0.43645833333333334,0.5760416666666667,0.4513010948099243,0.036064332692720816,0.21230468750000003,8
CinCECGTorso,0.2907608695652174,0.038296751322021386,0.2217391304347826,0.3391304347826087,0.2132108739988138,0.018093954767993612,0.0176630434782609,8
DodgerLoopDay,0.4234375,0.036862134559541106,0.3625,0.4625,0.3499763614336181,0.05046876476532124,0.25625000000000003,8
DodgerLoopGame,0.6222826086956522,0.05274553153878046,0.5507246376811594,0.6956521739130435,0.5580303545680234,0.09474973080455373,0.09692028985507246,8
DodgerLoopWeekend,0.8106884057971014,0.1835019355823498,0.3695652173913043,0.9202898550724637,0.7892616970952243,0.1806108799832565,0.5498188405797102,8
Earthquakes,0.6070143884892086,0.07917755648580986,0.5107913669064749,0.7482014388489209,0.5584242482092245,0.03571429519760623,-0.045863309352518034,8
FordA,0.9535037878787879,0.0051051115410199206,0.9416666666666667,0.9575757575757575,0.9534669509363929,0.005115656662406037,0.020738636363636265,8
FordB,0.8310185185185185,0.007059356911159051,0.817283950617284,0.837037037037037,0.8306757324187397,0.00717890438796041,0.049382716049382755,8
FreezerRegularTrain,0.8346491228070175,0.022790238670859903,0.7922807017543859,0.8596491228070176,0.8337635451722942,0.023232108672283543,0.30934210526315786,8
FreezerSmallTrain,0.6904385964912281,0.09302032614163293,0.5,0.7687719298245614,0.6609743381573002,0.14748137288842122,0.13767543859649123,8
GesturePebbleZ1,0.5414244186046512,0.06462479893396697,0.43023255813953487,0.6162790697674418,0.5313978189713298,0.06445641664558385,0.3452034883720931,8
GesturePebbleZ2,0.5237341772151899,0.04876176387429958,0.45569620253164556,0.5886075949367089,0.5082616605742126,0.04954580846670329,0.319620253164557,8
InsectWingbeatSound,0.46994949494949495,0.031336396886824096,0.4257575757575758,0.5191919191919192,0.45371916453741934,0.035191203647185906,0.3320707070707072,8
ItalyPowerDemand,0.9467930029154519,0.012453461802950257,0.923226433430515,0.9620991253644315,0.9467693064063435,0.01248124975767614,0.17249757045675407,8
Lightning2,0.6700819672131147,0.03442901739575914,0.6065573770491803,0.7049180327868853,0.6648096459401803,0.03718941983737728,0.1311475409836066,8
Lightning7,0.5410958904109588,0.0908664326124767,0.3972602739726027,0.6986301369863014,0.5386370722783487,0.09314119306615246,0.2928082191780822,8
MoteStrain,0.8331669329073482,0.0331292603925735,0.7811501597444089,0.8746006389776357,0.8322728886731738,0.032919782376869856,0.3509384984025559,8
Phoneme,0.11524261603375527,0.022694214101285953,0.08702531645569621,0.15137130801687765,0.07631005845676858,0.006890197730278655,0.04786392405063298,8
PickupGestureWiimoteZ,0.27,0.04659858980085739,0.2,0.36,0.214827948926793,0.05859187450172809,0.1375,8
Plane,0.9773809523809524,0.011311761325385007,0.9619047619047619,1.0,0.9780164946072474,0.011038664200520487,0.75,8
ShakeGestureWiimoteZ,0.5175,0.10333717350775289,0.32,0.64,0.5027585006367901,0.09525273052884514,0.3325,8
SonyAIBORobotSurface1,0.9186772046589018,0.03905658704758411,0.8718801996672213,0.9717138103161398,0.9177078903671869,0.039220112738621436,0.09692179700499164,8
SonyAIBORobotSurface2,0.881427072402938,0.030618309534850657,0.8153200419727177,0.9118572927597062,0.8796949448856366,0.030056438507441618,0.33919202518363056,8
StarLightCurves,0.9426602719766877,0.01705355674347695,0.9193783389995144,0.9639388052452647,0.9227177365481951,0.02209528780081887,0.5383377853326858,8
Trace,0.8125,0.10443726756834869,0.72,0.99,0.7730018886672777,0.13606964524182683,0.52,8
Wafer,0.9958630759247242,0.0014536388041685893,0.9926995457495134,0.9972420506164829,0.9891442960424719,0.0038853964725008663,0.18713497728747575,8
