dataset,acc_mean,acc_std,acc_min,acc_max,f1_mean,f1_std,delta_vs_joint_mean,n_seeds
AllGestureWiimoteX,0.18857142857142856,0.06477140786618683,0.11142857142857143,0.29428571428571426,0.13796783279938135,0.08242223194063325,0.048928571428571474,8
AllGestureWiimoteY,0.22875,0.03615191061893433,0.16,0.26285714285714284,0.1563755525741984,0.04351983301483211,0.06375,8
AllGestureWiimoteZ,0.20160714285714285,0.06878553944920243,0.13428571428571429,0.31285714285714283,0.13929133992276235,0.07162843433594024,0.049285714285714356,8
Car,0.3125,0.08439796130841003,0.16666666666666666,0.4166666666666667,0.20008804022975277,0.11006223177965532,0.07083333333333339,8
ChlorineConcentration,0.33453776041666666,0.0880572508379958,0.23125,0.5325520833333334,0.28451464888254024,0.05469331660775442,-0.017545572916666634,8
CinCECGTorso,0.3098731884057971,0.03805543044033716,0.23695652173913043,0.3644927536231884,0.25235146245655743,0.046501437215174496,0.026721014492753613,8
DodgerLoopDay,0.228125,0.0743273406723836,0.1375,0.35,0.15666992849450023,0.07996197683201234,0.06093750000000001,8
DodgerLoopGame,0.552536231884058,0.08923431472788784,0.4492753623188406,0.6884057971014492,0.47307348548947364,0.13827847207477237,0.07880434782608697,8
DodgerLoopWeekend,0.7119565217391304,0.11842260993477266,0.47101449275362317,0.8188405797101449,0.6034503177744749,0.14713845497554034,0.040760869565217336,8
Earthquakes,0.6726618705035972,0.08112060538816494,0.5611510791366906,0.7482014388489209,0.5409055661801185,0.08530905826979186,0.057553956834532405,8
FordA,0.7642045454545455,0.18546122540526006,0.48787878787878786,0.9393939393939394,0.7580028830683058,0.19526363282913692,0.04839015151515153,8
FordB,0.6782407407407407,0.11810985080134277,0.5222222222222223,0.8234567901234567,0.6677944426025363,0.1289622703966671,0.03966049382716047,8
FreezerRegularTrain,0.7410526315789474,0.0800503293296396,0.6164912280701754,0.8221052631578948,0.7294487116527368,0.10056023615143198,0.05368421052631585,8
FreezerSmallTrain,0.6458771929824562,0.12081313710290417,0.49894736842105264,0.8210526315789474,0.5882892971662013,0.18576883743731964,0.04412280701754389,8
GesturePebbleZ1,0.2768895348837209,0.0427165936233166,0.18604651162790697,0.31976744186046513,0.20913376543738327,0.05883818690927486,0.04215116279069773,8
GesturePebbleZ2,0.27848101265822783,0.08963496369905048,0.15822784810126583,0.4240506329113924,0.21327002904477063,0.10713093161738638,0.06645569620253164,8
InsectWingbeatSound,0.16976010101010103,0.03964881979383576,0.11767676767676767,0.23333333333333334,0.11908618285060378,0.03704889785924113,0.05498737373737381,8
ItalyPowerDemand,0.7634839650145773,0.13750534090212074,0.5889212827988338,0.9378036929057337,0.7500868556458857,0.15565024192506904,0.168488824101069,8
Lightning2,0.6086065573770492,0.08193793388070163,0.45901639344262296,0.7377049180327869,0.5753510260672734,0.1202963264345303,0.069672131147541,8
Lightning7,0.2791095890410959,0.10834358327855749,0.1643835616438356,0.4520547945205479,0.1854451233400383,0.10145050725148302,0.08904109589041098,8
MoteStrain,0.6890974440894568,0.12896243121426576,0.5087859424920128,0.8833865814696485,0.6782371717200069,0.13726576703308974,0.0947484025559106,8
Phoneme,0.040348101265822785,0.018501846805876583,0.011075949367088608,0.06329113924050633,0.013421724712495212,0.008101234187256728,0.003098628691983186,8
PickupGestureWiimoteZ,0.11,0.05345224838248488,0.0,0.18,0.06316159713461063,0.0359161823481314,0.015000000000000001,8
Plane,0.4285714285714286,0.29025864497853443,0.13333333333333333,0.8952380952380953,0.35000922466811535,0.3320589893727412,0.1321428571428572,8
ShakeGestureWiimoteZ,0.16,0.062335497797918374,0.1,0.28,0.08361927619152118,0.06443179271545202,0.04000000000000001,8
SonyAIBORobotSurface1,0.6589018302828619,0.11820170478784128,0.43594009983361065,0.8236272878535774,0.6153449291826261,0.16392015899524306,0.02932612312811981,8
SonyAIBORobotSurface2,0.6614637985309548,0.12672744662372504,0.3934942287513116,0.7995802728226653,0.6165030045725673,0.13496559130132238,0.02321615949632743,8
StarLightCurves,0.7704134288489558,0.04765440043381046,0.6890480815930063,0.8351141330743079,0.7436937215978355,0.03932636265038381,0.03563623118018455,8
Trace,0.4875,0.22301505394415483,0.19,0.76,0.4183470964211404,0.24733013282933788,0.1325,8
Wafer,0.8821787800129786,0.0914791255058427,0.6985723556132382,0.9771252433484751,0.7684177455291981,0.11885490939558084,0.028268981181051284,8
