dataset,acc_mean,acc_std,acc_min,acc_max,f1_mean,f1_std,delta_vs_joint_mean,n_seeds
AllGestureWiimoteX,0.48910714285714285,0.04761322243282128,0.3757142857142857,0.5285714285714286,0.46946277901665434,0.050698124448389226,0.29803571428571435,8
AllGestureWiimoteY,0.5325,0.01830658885033681,0.5,0.5571428571428572,0.5214941441919173,0.019331135753977484,0.33892857142857147,8
AllGestureWiimoteZ,0.46732142857142855,0.034594169447563904,0.39,0.4942857142857143,0.43598305320297553,0.031080022774013095,0.25107142857142856,8
Car,0.29583333333333334,0.1449548369731233,0.1,0.55,0.18924076331222217,0.13626386422966433,0.04583333333333334,8
ChlorineConcentration,0.41142578125,0.05197839829016842,0.30963541666666666,0.4627604166666667,0.39842224741073673,0.044465942940567244,0.15904947916666673,8
CinCECGTorso,0.3161231884057971,0.05686542797351248,0.22246376811594204,0.41884057971014493,0.25780610286062794,0.0631821792027654,0.04302536231884061,8
DodgerLoopDay,0.4015625,0.0419595362053899,0.3375,0.45,0.3362409486907981,0.053674162132879684,0.234375,8
DodgerLoopGame,0.5942028985507246,0.049299713870768744,0.5289855072463768,0.6521739130434783,0.5167847225808031,0.10159139108435292,0.06884057971014494,8
DodgerLoopWeekend,0.8614130434782609,0.081196152217181,0.6739130434782609,0.9202898550724637,0.8385125749260728,0.07797671441681059,0.6005434782608695,8
Earthquakes,0.572841726618705,0.06235588425668968,0.48201438848920863,0.6618705035971223,0.5494893055556773,0.04544344164108017,-0.08003597122302164,8
FordA,0.9486742424242425,0.005181824510768039,0.9424242424242424,0.9583333333333334,0.9486363243185263,0.005189949319739184,0.015909090909090817,8
FordB,0.8234567901234568,0.012659159396773444,0.8074074074074075,0.8407407407407408,0.8232425020952058,0.012679840517387086,0.04182098765432102,8
FreezerRegularTrain,0.7864473684210527,0.013047911265487412,0.7687719298245614,0.8045614035087719,0.7861431266044403,0.012886282371887063,0.261140350877193,8
FreezerSmallTrain,0.6742982456140351,0.11359378655782884,0.49403508771929827,0.7649122807017544,0.6338025957471312,0.17939800209135365,0.12153508771929825,8
GesturePebbleZ1,0.5,0.05283071061059554,0.4186046511627907,0.5581395348837209,0.4840583644347515,0.05152348971119985,0.3037790697674419,8
GesturePebbleZ2,0.5126582278481012,0.08591890790744738,0.3860759493670886,0.6392405063291139,0.5025413444619586,0.09149659346267698,0.30854430379746833,8
InsectWingbeatSound,0.4037878787878788,0.03871562383847841,0.3388888888888889,0.4535353535353535,0.37981901896335063,0.04193504161772925,0.265909090909091,8
ItalyPowerDemand,0.9466715257531584,0.011433244215620524,0.9251700680272109,0.9611273080660836,0.946646531004663,0.011472274537638185,0.1723760932944606,8
Lightning2,0.6639344262295082,0.03717683341074362,0.5901639344262295,0.7049180327868853,0.6526595036681698,0.04902338407958711,0.12500000000000003,8
Lightning7,0.4794520547945205,0.06508136652961209,0.3835616438356164,0.5753424657534246,0.46340254697889277,0.06565943799337702,0.23116438356164382,8
MoteStrain,0.8009185303514377,0.07592692256136406,0.6261980830670927,0.8761980830670927,0.797006495722576,0.0818428495253116,0.31869009584664537,8
Phoneme,0.10766086497890295,0.03425827652731935,0.0680379746835443,0.15559071729957805,0.06527689579783016,0.01115870827594147,0.04028217299578066,8
PickupGestureWiimoteZ,0.245,0.0656832224718437,0.14,0.32,0.19844612672655268,0.0724758847805033,0.11249999999999999,8
Plane,0.969047619047619,0.02428104530282281,0.9142857142857143,0.9904761904761905,0.9692169856192742,0.02542433959123144,0.7416666666666667,8
ShakeGestureWiimoteZ,0.4475,0.12325930854445494,0.26,0.6,0.4094347666222666,0.13934286044524086,0.2625,8
SonyAIBORobotSurface1,0.9093178036605657,0.04239314819987253,0.8569051580698835,0.9717138103161398,0.9081540271822385,0.04280583069831685,0.08756239600665552,8
SonyAIBORobotSurface2,0.8725078698845751,0.025146127074018264,0.8331584470094439,0.9076600209863589,0.8709023566142735,0.02467965572360952,0.33027282266526753,8
StarLightCurves,0.8992077464788732,0.02242416203565225,0.8536911121903836,0.9249635745507528,0.8770657081577152,0.022709402215562124,0.4948852598348714,8
Trace,0.835,0.11199489784296936,0.72,1.0,0.8091878975405612,0.1345749140453438,0.5425,8
Wafer,0.9914625243348475,0.002736650837296209,0.9873458792991564,0.9935107073329007,0.977700592140798,0.007098335556595334,0.182734425697599,8
