dataset,acc_mean,acc_std,acc_min,acc_max,f1_mean,f1_std,delta_vs_joint_mean,n_seeds
AllGestureWiimoteX,0.15017857142857144,0.05907171852950577,0.07714285714285714,0.24142857142857144,0.0973996076359994,0.07132486801540311,0.01053571428571433,8
AllGestureWiimoteY,0.1742857142857143,0.04138984819406441,0.10142857142857142,0.22857142857142856,0.11373741258511265,0.044838220530565,0.009285714285714276,8
AllGestureWiimoteZ,0.17660714285714285,0.057065955907310964,0.10571428571428572,0.2714285714285714,0.11018470394277696,0.06330445390674576,0.024285714285714362,8
Car,0.25416666666666665,0.052516059524078035,0.16666666666666666,0.31666666666666665,0.12364161700469398,0.054775273934561684,0.01250000000000005,8
ChlorineConcentration,0.332421875,0.047605298191720435,0.26666666666666666,0.40390625,0.3043268711148311,0.03528085849664455,-0.019661458333333312,8
CinCECGTorso,0.28750000000000003,0.05104711160726585,0.21811594202898552,0.36884057971014494,0.20890479461339895,0.05409471852122404,0.004347826086956531,8
DodgerLoopDay,0.171875,0.07126096406869611,0.1,0.3,0.0899284341765005,0.06948732614620957,0.004687500000000016,8
DodgerLoopGame,0.5036231884057971,0.04899444954947922,0.4420289855072464,0.5797101449275363,0.44051336884660725,0.08781501809644837,0.029891304347826102,8
DodgerLoopWeekend,0.6847826086956522,0.1911333070629059,0.2318840579710145,0.8623188405797102,0.5007252955436696,0.18197474924452817,0.013586956521739094,8
Earthquakes,0.6762589928057554,0.09100079597606847,0.539568345323741,0.7553956834532374,0.5432280407043226,0.08900673675755061,0.0611510791366907,8
FordA,0.7329545454545454,0.17647589813063808,0.4810606060606061,0.9393939393939394,0.7308277625593894,0.17829734245975648,0.017140151515151525,8
FordB,0.6459876543209876,0.11667763075679637,0.5111111111111111,0.7987654320987654,0.6336650038505194,0.1265411557561779,0.007407407407407349,8
FreezerRegularTrain,0.7161842105263158,0.07067402766091244,0.6154385964912281,0.7849122807017543,0.7020610318870822,0.09113799503392002,0.028815789473684267,8
FreezerSmallTrain,0.6152631578947368,0.12242676540479971,0.4494736842105263,0.7663157894736842,0.5454468509003817,0.19169391732093405,0.01350877192982456,8
GesturePebbleZ1,0.24127906976744184,0.05576548282921767,0.1686046511627907,0.3081395348837209,0.16717597476770796,0.05930698306493257,0.0065406976744186544,8
GesturePebbleZ2,0.23338607594936708,0.085748065806056,0.12658227848101267,0.34177215189873417,0.16703792859890199,0.09175979170722345,0.021360759493670892,8
InsectWingbeatSound,0.12039141414141413,0.030531769569127277,0.06515151515151515,0.16818181818181818,0.06503747023542222,0.03550379375487449,0.005618686868686934,8
ItalyPowerDemand,0.6474732750242954,0.1875810586045419,0.3177842565597668,0.93488824101069,0.632933623801115,0.19539430830619825,0.0524781341107872,8
Lightning2,0.5307377049180328,0.07834502504488709,0.4262295081967213,0.639344262295082,0.43916807367751554,0.10077798973649463,-0.00819672131147537,8
Lightning7,0.2071917808219178,0.11424490934412512,0.0821917808219178,0.3424657534246575,0.12380731484887172,0.10272570595021797,0.01712328767123291,8
MoteStrain,0.6420726837060703,0.14789177306380183,0.46166134185303515,0.8801916932907349,0.5930310385556734,0.19290004471644678,0.04772364217252402,8
Phoneme,0.03593090717299578,0.019123809487378768,0.013185654008438819,0.06540084388185655,0.011332156510965934,0.00780349104414898,-0.001318565400843819,8
PickupGestureWiimoteZ,0.0975,0.029154759474226504,0.04,0.12,0.050923004640490446,0.021176208255836118,0.002499999999999998,8
Plane,0.31785714285714284,0.2299807741151095,0.13333333333333333,0.7142857142857143,0.21705904235163226,0.2628116937132254,0.021428571428571484,8
ShakeGestureWiimoteZ,0.13,0.0595219047314276,0.08,0.24,0.06180762270352054,0.051850458968344226,0.010000000000000009,8
SonyAIBORobotSurface1,0.6605657237936772,0.1334379168229313,0.44093178036605657,0.8369384359400999,0.5971767747020092,0.20200210169657776,0.030990016638935115,8
SonyAIBORobotSurface2,0.6349685204616999,0.11703734431049193,0.4333683105981112,0.7597061909758657,0.5751526409032737,0.12121185583703614,-0.003279118572927564,8
StarLightCurves,0.7520185769791161,0.03749257521774559,0.6971830985915493,0.810709082078679,0.7095506377993628,0.03228990718945994,0.017241379310344834,8
Trace,0.395,0.20880613017821098,0.16,0.75,0.30271180530139,0.20517283511327683,0.04000000000000002,8
Wafer,0.8221933809214795,0.1263475685869308,0.5806294613887086,0.9737183646982479,0.6260427177762806,0.16898595065739547,-0.03171641791044774,8
