model,mode,seed,dataset,epochs_trained,best_epoch,test_acc,test_f1_macro,base_test_acc,delta_vs_joint
lstm,head,7,AllGestureWiimoteX,10,10,0.1471428571428571,0.0721332661604522,0.1396428571428571,0.0075
lstm,head,7,AllGestureWiimoteY,10,10,0.2114285714285714,0.1118198318181101,0.165,0.0464285714285714
lstm,head,7,AllGestureWiimoteZ,10,10,0.1957142857142857,0.1247512630927926,0.1523214285714285,0.0433928571428572
lstm,head,7,Car,10,10,0.2333333333333333,0.0945945945945946,0.2416666666666666,-0.0083333333333332
lstm,head,7,ChlorineConcentration,10,10,0.3106770833333333,0.3091471761329773,0.3520833333333333,-0.0414062499999999
lstm,head,7,CinCECGTorso,10,10,0.2876811594202899,0.2463141012333787,0.2831521739130435,0.0045289855072463
lstm,head,7,DodgerLoopDay,10,10,0.1,0.0816282773829943,0.1671875,-0.0671874999999999
lstm,head,7,DodgerLoopGame,10,10,0.4492753623188406,0.4090601757944557,0.473731884057971,-0.0244565217391304
lstm,head,7,DodgerLoopWeekend,10,10,0.2318840579710145,0.2036149825783972,0.6711956521739131,-0.4393115942028985
lstm,head,7,Earthquakes,10,8,0.6906474820143885,0.568291802094619,0.6151079136690647,0.0755395683453238
lstm,head,7,FordA,10,10,0.7984848484848485,0.7980950365604853,0.715814393939394,0.0826704545454545
lstm,head,7,FordB,10,10,0.6728395061728395,0.6723596061293863,0.6385802469135803,0.0342592592592592
lstm,head,7,FreezerRegularTrain,10,10,0.7596491228070176,0.7596128686690206,0.6873684210526315,0.072280701754386
lstm,head,7,FreezerSmallTrain,10,10,0.4494736842105263,0.3175648772352377,0.6017543859649123,-0.1522807017543859
lstm,head,7,GesturePebbleZ1,10,10,0.3081395348837209,0.2031028693528693,0.2347383720930232,0.0734011627906977
lstm,head,7,GesturePebbleZ2,10,10,0.3417721518987341,0.2495506423858354,0.2120253164556962,0.1297468354430379
lstm,head,7,InsectWingbeatSound,10,10,0.1166666666666666,0.0637053489759665,0.1147727272727272,0.0018939393939394
lstm,head,7,ItalyPowerDemand,10,10,0.5743440233236151,0.5445945727473345,0.5949951409135082,-0.0206511175898931
lstm,head,7,Lightning2,10,10,0.4262295081967213,0.4161881323489199,0.5389344262295082,-0.1127049180327868
lstm,head,7,Lightning7,10,10,0.3287671232876712,0.1303304904051172,0.1900684931506849,0.1386986301369863
lstm,head,7,MoteStrain,10,10,0.4656549520766773,0.4579781440921294,0.5943490415335463,-0.1286940894568689
lstm,head,7,Phoneme,6,1,0.0131856540084388,0.0056571800550391,0.0372494725738396,-0.0240638185654007
lstm,head,7,PickupGestureWiimoteZ,10,10,0.08,0.0683333333333333,0.095,-0.015
lstm,head,7,Plane,10,10,0.5904761904761905,0.5195709693349142,0.2964285714285714,0.2940476190476191
lstm,head,7,ShakeGestureWiimoteZ,10,10,0.1,0.0562770562770562,0.12,-0.0199999999999999
lstm,head,7,SonyAIBORobotSurface1,10,10,0.6755407653910149,0.6606240498081517,0.6295757071547421,0.0459650582362728
lstm,head,7,SonyAIBORobotSurface2,10,10,0.7597061909758657,0.7563408193911787,0.6382476390346274,0.1214585519412382
lstm,head,7,StarLightCurves,10,10,0.7302088392423507,0.702606442569595,0.7347771976687713,-0.0045683584264205
lstm,head,7,Trace,10,10,0.5,0.3897084476903754,0.355,0.145
lstm,head,7,Wafer,6,1,0.8567488643737833,0.6893242875231509,0.8539097988319273,0.0028390655418559
lstm,head,21,AllGestureWiimoteX,10,10,0.2414285714285714,0.2197564262041437,0.1396428571428571,0.1017857142857143
lstm,head,21,AllGestureWiimoteY,10,10,0.2285714285714285,0.176070313683649,0.165,0.0635714285714285
lstm,head,21,AllGestureWiimoteZ,10,10,0.2714285714285714,0.2079099478752501,0.1523214285714285,0.1191071428571429
lstm,head,21,Car,10,10,0.3166666666666666,0.2177181418706842,0.2416666666666666,0.075
lstm,head,21,ChlorineConcentration,7,2,0.3002604166666666,0.3009097655488986,0.3520833333333333,-0.0518229166666666
lstm,head,21,CinCECGTorso,10,10,0.231159420289855,0.1848724838259355,0.2831521739130435,-0.0519927536231884
lstm,head,21,DodgerLoopDay,10,10,0.3,0.2346369986121538,0.1671875,0.1328125
lstm,head,21,DodgerLoopGame,10,10,0.5434782608695652,0.5380200860832138,0.473731884057971,0.0697463768115941
lstm,head,21,DodgerLoopWeekend,10,10,0.6594202898550725,0.622797324803722,0.6711956521739131,-0.0117753623188405
lstm,head,21,Earthquakes,6,1,0.5899280575539568,0.563831544178365,0.6151079136690647,-0.0251798561151078
lstm,head,21,FordA,10,8,0.9393939393939394,0.939373897707231,0.715814393939394,0.2235795454545455
lstm,head,21,FordB,6,1,0.7987654320987654,0.7985415894203436,0.6385802469135803,0.1601851851851851
lstm,head,21,FreezerRegularTrain,6,1,0.7680701754385965,0.7680123391796663,0.6873684210526315,0.0807017543859649
lstm,head,21,FreezerSmallTrain,7,2,0.7536842105263157,0.7529440006401451,0.6017543859649123,0.1519298245614034
lstm,head,21,GesturePebbleZ1,10,10,0.3081395348837209,0.2554630039150163,0.2347383720930232,0.0734011627906977
lstm,head,21,GesturePebbleZ2,10,10,0.3227848101265823,0.2771550578154352,0.2120253164556962,0.110759493670886
lstm,head,21,InsectWingbeatSound,10,10,0.1681818181818181,0.133676634085065,0.1147727272727272,0.0534090909090909
lstm,head,21,ItalyPowerDemand,10,10,0.93488824101069,0.9348466448994248,0.5949951409135082,0.3398931000971817
lstm,head,21,Lightning2,10,10,0.6229508196721312,0.5665739882607352,0.5389344262295082,0.084016393442623
lstm,head,21,Lightning7,10,10,0.3424657534246575,0.2621873364730507,0.1900684931506849,0.1523972602739726
lstm,head,21,MoteStrain,10,10,0.8801916932907349,0.8785855409473172,0.5943490415335463,0.2858426517571886
