dataset,acc
Car,0.9
ChlorineConcentration,0.7588541666666667
CinCECGTorso,1.0
Earthquakes,0.7482014388489209
FordA,0.956060606060606
FordB,0.837037037037037
FreezerRegularTrain,0.9992982456140352
FreezerSmallTrain,0.9978947368421052
InsectWingbeatSound,0.6606060606060606
ItalyPowerDemand,0.9698736637512148
Lightning2,0.7868852459016393
Lightning7,0.8082191780821918
MoteStrain,0.9688498402555912
Phoneme,0.3665611814345991
Plane,1.0
SonyAIBORobotSurface1,0.9151414309484192
SonyAIBORobotSurface2,0.9233997901364114
StarLightCurves,0.9828800388538124
Trace,1.0
Wafer,1.0
