dataset,train_size,batches_per_epoch,updates_c2,updates_c3head
AllGestureWiimoteX,240,5,51.25,50.0
AllGestureWiimoteY,240,5,51.25,50.0
AllGestureWiimoteZ,240,5,51.25,50.0
Car,48,1,10.25,9.0
ChlorineConcentration,373,8,82.0,73.0
CinCECGTorso,32,1,10.25,9.5
DodgerLoopDay,62,2,20.5,20.0
DodgerLoopGame,16,1,10.25,10.0
DodgerLoopWeekend,16,1,10.25,9.875
Earthquakes,257,6,61.5,50.25
FordA,2880,60,615.0,592.5
FordB,2908,61,625.25,594.75
FreezerRegularTrain,120,3,30.75,28.875
FreezerSmallTrain,22,1,10.25,10.0
GesturePebbleZ1,105,3,30.75,30.0
GesturePebbleZ2,116,3,30.75,30.0
InsectWingbeatSound,176,4,41.0,40.0
ItalyPowerDemand,53,2,20.5,19.0
Lightning2,48,1,10.25,10.0
Lightning7,56,2,20.5,19.0
MoteStrain,16,1,10.25,10.0
Phoneme,171,4,41.0,38.5
PickupGestureWiimoteZ,40,1,10.25,9.5
Plane,84,2,20.5,20.0
ShakeGestureWiimoteZ,40,1,10.25,10.0
SonyAIBORobotSurface1,16,1,10.25,8.625
SonyAIBORobotSurface2,21,1,10.25,10.0
StarLightCurves,800,17,174.25,170.0
Trace,80,2,20.5,20.0
Wafer,800,17,174.25,163.625
