dataset,acc_mean,acc_std,acc_min,acc_max,f1_mean,f1_std,f1_min,f1_max,n_seeds
AllGestureWiimoteX,0.13964285714285712,0.04823865597245796,0.07857142857142857,0.22142857142857142,0.07879770853739773,0.062604687457887,0.01818181818181818,0.1915124627114558,8
AllGestureWiimoteY,0.165,0.050432531497399076,0.09714285714285714,0.23714285714285716,0.08959572912285842,0.05265745608807152,0.021703296703296703,0.18092898919456346,8
AllGestureWiimoteZ,0.15232142857142858,0.05771114105395309,0.08142857142857143,0.25,0.09000941641154109,0.06619739874896813,0.02477814170935864,0.19187620437402572,8
Car,0.24166666666666667,0.03779644730092272,0.18333333333333332,0.31666666666666665,0.10385922503841544,0.02412643000810788,0.07746478873239436,0.15618591934381407,8
ChlorineConcentration,0.3520833333333333,0.12249869031734291,0.21510416666666668,0.5325520833333334,0.25936667101709804,0.07983410844871665,0.12256464753808005,0.35111609168849744,8
CinCECGTorso,0.2831521739130435,0.05522990191003738,0.2072463768115942,0.36884057971014494,0.19278014523523587,0.05831718618293065,0.10712115728766514,0.2645242534072882,8
DodgerLoopDay,0.16718750000000002,0.0644126970069899,0.1,0.275,0.08613563086556231,0.06451521027695856,0.03453689167974882,0.2173826173826174,8
DodgerLoopGame,0.473731884057971,0.06268818998616178,0.3333333333333333,0.5362318840579711,0.3954121823627974,0.08551840444404081,0.3087979094076655,0.5289607729874495,8
DodgerLoopWeekend,0.6711956521739131,0.19226566530805936,0.2318840579710145,0.8623188405797102,0.4872482699596735,0.17617306239195885,0.2036149825783972,0.7899543378995433,8
Earthquakes,0.6151079136690647,0.17313228142500706,0.26618705035971224,0.7553956834532374,0.46895484874155124,0.12667339669176125,0.22235629662132514,0.6622355631789594,8
FordA,0.715814393939394,0.18436413617475675,0.4825757575757576,0.9409090909090909,0.7128954320872438,0.18785810848781773,0.4817402481387867,0.9408955223880597,8
FordB,0.6385802469135803,0.1199806017083232,0.5160493827160494,0.8,0.6219523467218886,0.1362840678524636,0.4573246569412282,0.7997607261229697,8
FreezerRegularTrain,0.6873684210526315,0.08700703307852102,0.5684210526315789,0.783157894736842,0.6638600472766967,0.1120369369233678,0.5149831534299705,0.7831569336595398,8
FreezerSmallTrain,0.6017543859649123,0.13108351170977536,0.44666666666666666,0.7628070175438596,0.5182278318934219,0.20648266507083934,0.31771801804632765,0.7622815052888848,8
GesturePebbleZ1,0.23473837209302326,0.059367228831017575,0.1686046511627907,0.32558139534883723,0.15100481541896002,0.07258050800946966,0.04809286898839138,0.26691699707314537,8
GesturePebbleZ2,0.2120253164556962,0.08005766228274379,0.08227848101265822,0.31645569620253167,0.13835705223110942,0.07551294590177997,0.04553734061930784,0.2244282689601662,8
InsectWingbeatSound,0.11477272727272728,0.022354241845788627,0.08585858585858586,0.1505050505050505,0.05123164845845005,0.030915616008300114,0.01515151515151515,0.10494785503443418,8
ItalyPowerDemand,0.5949951409135082,0.21303787472158522,0.28960155490767736,0.93488824101069,0.563473926506139,0.23326546627569383,0.2850614522909524,0.9348466448994249,8
Lightning2,0.5389344262295082,0.07249085315822593,0.45901639344262296,0.639344262295082,0.4433880573696929,0.10622369218240821,0.3146067415730337,0.5795739348370927,8
Lightning7,0.19006849315068491,0.11282822947533513,0.0821917808219178,0.3287671232876712,0.1107707945458817,0.10004983208632344,0.0216998191681736,0.2805497805497805,8
MoteStrain,0.5943490415335463,0.1541645502280551,0.4289137380191693,0.8793929712460063,0.5235427479582797,0.20260303937753568,0.30365612040981904,0.8778436350454859,8
Phoneme,0.03724947257383966,0.026676857819983087,0.012658227848101266,0.08649789029535865,0.009279122997275267,0.005463321969704173,0.003865460275716686,0.015950215760298633,8
PickupGestureWiimoteZ,0.095,0.0232992949004287,0.06,0.12,0.048518098021768034,0.013723150225097324,0.03395585738539898,0.06666666666666667,8
Plane,0.29642857142857143,0.19394377673066973,0.13333333333333333,0.6,0.18744462962235003,0.21195860342593578,0.03361344537815126,0.5237740173948028,8
ShakeGestureWiimoteZ,0.12,0.058554004376911994,0.06,0.24,0.051448190765281676,0.04618278050726758,0.01818181818181818,0.14545454545454545,8
SonyAIBORobotSurface1,0.6295757071547421,0.12142005670131968,0.43926788685524126,0.8186356073211315,0.5381380726683785,0.19541792971000907,0.3219406697667567,0.8105718210077351,8
SonyAIBORobotSurface2,0.6382476390346274,0.11478509215358383,0.4323189926547744,0.757607555089192,0.5871245925367008,0.11897633509184824,0.41709770456069184,0.7538335094516848,8
StarLightCurves,0.7347771976687713,0.07670015146583137,0.6170471102476931,0.8394851869839728,0.6683986848086333,0.060908306652980804,0.5555052125200235,0.7408039292381495,8
Trace,0.355,0.14530755559944472,0.19,0.57,0.22723362202243974,0.13892375045933458,0.10810810810810811,0.46177166518781426,8
Wafer,0.8539097988319273,0.09129218082706043,0.7159312134977287,0.9725827384815056,0.6101909981183395,0.17252161162436744,0.47303297123225096,0.9306541911365342,8
