dataset,acc_mean,acc_std,acc_min,acc_max,f1_mean,f1_std,f1_min,f1_max,n_seeds
AllGestureWiimoteX,0.19107142857142856,0.055705127452414974,0.13142857142857142,0.25857142857142856,0.12910878494565062,0.054330283773184135,0.05555383290267011,0.1928914858364889,8
AllGestureWiimoteY,0.19357142857142856,0.05115003939990902,0.14285714285714285,0.30428571428571427,0.12633106126872617,0.0623399117847735,0.05674927982427036,0.2528855436735666,8
AllGestureWiimoteZ,0.21625,0.09081085170381352,0.11428571428571428,0.37285714285714283,0.14295688202839713,0.0842877699232158,0.041350847011224365,0.2928587399760138,8
Car,0.25,0.07237468644557458,0.1,0.31666666666666665,0.10270031494780064,0.027344252734717047,0.045454545454545456,0.1316046966731898,8
ChlorineConcentration,0.25237630208333334,0.054338354976932096,0.23072916666666668,0.38619791666666664,0.1575354034124688,0.058993823116518525,0.12498236704753844,0.2812097674031236,8
CinCECGTorso,0.27309782608695654,0.04014002687011875,0.23043478260869565,0.33115942028985507,0.15857996747020156,0.0638625960349617,0.09953569355774812,0.24670326215664184,8
DodgerLoopDay,0.1671875,0.054665174014174686,0.0875,0.25,0.07500619454648277,0.06049117829752091,0.030303030303030304,0.17329611089718908,8
DodgerLoopGame,0.5253623188405797,0.010247924365022431,0.5217391304347826,0.5507246376811594,0.35083217753120666,0.022556804392913445,0.34285714285714286,0.4066574202496533,8
DodgerLoopWeekend,0.2608695652173913,0.0,0.2608695652173913,0.2608695652173913,0.20689655172413793,0.0,0.20689655172413793,0.20689655172413793,8
Earthquakes,0.6528776978417267,0.1664144677994616,0.302158273381295,0.7482014388489209,0.4314526812405118,0.07739189321453013,0.27264390138641637,0.5433094384707288,8
FordA,0.9327651515151515,0.023749555530683607,0.8772727272727273,0.9484848484848485,0.9326001482446012,0.02402194091581516,0.8763827740574939,0.9484326418619401,8
FordB,0.7816358024691358,0.06344504554400122,0.671604938271605,0.8419753086419753,0.7737183355364895,0.07538734048540259,0.64,0.8419598924449267,8
FreezerRegularTrain,0.5253070175438597,0.0679251840572007,0.5,0.6933333333333334,0.38259474795303033,0.12228586148244587,0.3333333333333333,0.6843805831147604,8
FreezerSmallTrain,0.5527631578947368,0.09799052768858045,0.49964912280701756,0.7185964912280701,0.4256512126591988,0.17091877020866614,0.3331773514272344,0.7119159924498472,8
GesturePebbleZ1,0.19622093023255816,0.03699977343417982,0.1511627906976744,0.25,0.10419266666367363,0.042784739093206674,0.04522613065326633,0.1468546132339236,8
GesturePebbleZ2,0.20411392405063292,0.05303415506709547,0.1518987341772152,0.27848101265822783,0.10459714193118115,0.05930433644687608,0.04395604395604396,0.20498851208528626,8
InsectWingbeatSound,0.13787878787878788,0.03779451905832264,0.09090909090909091,0.1984848484848485,0.06795457827448995,0.047202593791230645,0.015158532990862773,0.13166732201694292,8
ItalyPowerDemand,0.7742954324586978,0.19433274087387695,0.5053449951409135,0.9446064139941691,0.7279607370124637,0.26072434338761596,0.3475862756211035,0.9445592901683553,8
Lightning2,0.5389344262295082,0.07354245264314081,0.45901639344262296,0.6721311475409836,0.43496457362158336,0.12752100138742078,0.3146067415730337,0.6677559912854031,8
Lightning7,0.2482876712328767,0.08521431986406185,0.1643835616438356,0.410958904109589,0.18149165989002888,0.10256379747742156,0.09603174603174604,0.38763036623817604,8
MoteStrain,0.48222843450479236,0.033697443850806655,0.46086261980830673,0.5623003194888179,0.3581203599121537,0.03985786740547641,0.3180140012508322,0.4100676865507374,8
Phoneme,0.06737869198312237,0.033646493930926655,0.03059071729957806,0.11972573839662447,0.022884319310922,0.009940479259504954,0.010122127785309628,0.03866080923889773,8
PickupGestureWiimoteZ,0.1325,0.0511998883927355,0.06,0.22,0.05717588970836528,0.054151441101386526,0.013333333333333332,0.1769119769119769,8
Plane,0.22738095238095238,0.11410842257416741,0.14285714285714285,0.4,0.12125113656773649,0.13272176160435611,0.03571428571428571,0.3317972350230414,8
ShakeGestureWiimoteZ,0.185,0.0690755280213519,0.1,0.3,0.12586149650657666,0.07038502302848886,0.01818181818181818,0.22308042834358624,8
SonyAIBORobotSurface1,0.8217554076539102,0.14752978758092233,0.5806988352745425,0.978369384359401,0.7869580590355237,0.20343149656552986,0.3917004048582996,0.9778954724337048,8
SonyAIBORobotSurface2,0.5422350472193075,0.2135913489151305,0.3830010493179433,0.8436516264428122,0.4766892970208519,0.26365863266650036,0.27693474962063735,0.8423679498408659,8
StarLightCurves,0.40432248664400194,0.22587210993330775,0.23336571151044197,0.8460417678484702,0.30833639479255304,0.17078458987966438,0.14216107767268557,0.6206286714253032,8
Trace,0.2925,0.10138328969101086,0.19,0.48,0.16487319295633618,0.10070761777433748,0.07983193277310924,0.316958041958042,8
Wafer,0.8087280986372485,0.2020326437977373,0.31862426995457493,0.9313757300454251,0.5251528720236559,0.13194757821674222,0.3100285403972629,0.7482951529258034,8
