dataset,acc_mean,acc_std,acc_min,acc_max,f1_mean,f1_std,delta_vs_joint_mean,n_seeds
AllGestureWiimoteX,0.09857142857142857,0.009195004347811273,0.08428571428571428,0.10714285714285714,0.04250051006313022,0.014434435032613456,-0.09249999999999993,8
AllGestureWiimoteY,0.10517857142857143,0.017677669529663688,0.06714285714285714,0.12571428571428572,0.04037786377490339,0.020203427583513206,-0.08839285714285708,8
AllGestureWiimoteZ,0.10410714285714286,0.011024422927057704,0.09,0.12142857142857143,0.03719554142322754,0.012822598810137338,-0.11214285714285714,8
Car,0.2625,0.055456260470724356,0.21666666666666667,0.35,0.12290423837466796,0.05080990318333732,0.012499999999999997,8
ChlorineConcentration,0.33486328125,0.07590080896315783,0.26171875,0.503125,0.2908842810864874,0.03559352245240099,0.08248697916666672,8
CinCECGTorso,0.2535326086956522,0.03152783668208639,0.19130434782608696,0.2927536231884058,0.1269948095698789,0.040539822278881685,-0.019565217391304304,8
DodgerLoopDay,0.15937500000000002,0.030435822409034478,0.1375,0.2125,0.059061840275078374,0.0341601348009178,-0.007812499999999983,8
DodgerLoopGame,0.5018115942028986,0.06980097215215231,0.42028985507246375,0.6594202898550725,0.3692675900138724,0.10821017628310137,-0.023550724637681153,8
DodgerLoopWeekend,0.618659420289855,0.2208468461006228,0.2608695652173913,0.7391304347826086,0.37017340571346125,0.10078008088522356,0.35778985507246375,8
Earthquakes,0.4352517985611511,0.2147282738855707,0.2517985611510791,0.7482014388489209,0.35513711145162935,0.17558193404996975,-0.21762589928057557,8
FordA,0.6857954545454545,0.05883749356788279,0.5613636363636364,0.7431818181818182,0.6770785307916111,0.056293579854062706,-0.24696969696969706,8
FordB,0.5728395061728395,0.00713795638266244,0.562962962962963,0.5851851851851851,0.5015205130387523,0.01167075109279588,-0.20879629629629629,8
FreezerRegularTrain,0.5974122807017543,0.1324933224713395,0.44491228070175437,0.76,0.5321380228220414,0.19603648552145864,0.07210526315789471,8
FreezerSmallTrain,0.5147368421052632,0.14689852283192276,0.2319298245614035,0.7603508771929824,0.4085871651132557,0.1703856970762027,-0.038026315789473686,8
GesturePebbleZ1,0.18023255813953487,0.05172225075395437,0.09302325581395349,0.25,0.09270479660133189,0.049639046474717834,-0.01598837209302322,8
GesturePebbleZ2,0.16455696202531644,0.06164217196766478,0.08227848101265822,0.27848101265822783,0.09066062572341643,0.04164655897131135,-0.039556962025316444,8
InsectWingbeatSound,0.08162878787878788,0.014220910085985269,0.05858585858585859,0.09898989898989899,0.019130050622717748,0.004857929076811424,-0.05624999999999991,8
ItalyPowerDemand,0.5003644314868805,0.09577834046633965,0.2847424684159378,0.6005830903790087,0.38925278142497477,0.09982351467698893,-0.27393100097181733,8
Lightning2,0.5430327868852459,0.08099541011364225,0.4426229508196721,0.639344262295082,0.429872016854138,0.11984329708740578,0.004098360655737758,8
Lightning7,0.17294520547945205,0.06035286599801368,0.0958904109589041,0.2602739726027397,0.05722631495597823,0.04441573214941577,-0.07534246575342465,8
MoteStrain,0.49400958466453676,0.10168312884517078,0.39057507987220447,0.7252396166134185,0.368306714451618,0.14307743131110517,0.011781150159744444,8
Phoneme,0.019910337552742616,0.01159909368089215,0.0010548523206751054,0.03270042194092827,0.003103030745786583,0.002002205360117734,-0.04746835443037968,8
PickupGestureWiimoteZ,0.0975,0.03770183777256185,0.06,0.18,0.031611905163797346,0.03864241853290801,-0.035,8
Plane,0.11904761904761904,0.06676377766740298,0.0,0.20952380952380953,0.03651892062933253,0.02388244420392825,-0.10833333333333325,8
ShakeGestureWiimoteZ,0.1125,0.02121320343559642,0.1,0.16,0.03927888489236917,0.034539390127396465,-0.0725,8
SonyAIBORobotSurface1,0.47400166389351084,0.07693820924147181,0.3793677204658902,0.5707154742096506,0.3627456106996756,0.07366996011425862,-0.34775374376039936,8
SonyAIBORobotSurface2,0.49580272822665267,0.10981874476095899,0.36306400839454356,0.6274921301154249,0.38488135930859857,0.06608240831028278,-0.04643231899265481,8
StarLightCurves,0.7793073093734824,0.03743681059362925,0.7274162214667315,0.8381495871782418,0.6956135889144585,0.06067681094282296,0.3749848227294804,8
Trace,0.28500000000000003,0.05976143046671968,0.19,0.35,0.15827624797248221,0.047652562053255215,-0.007499999999999982,8
Wafer,0.6425819273199221,0.13806106147850536,0.382219338092148,0.7727125243348475,0.4780944094485291,0.07086101178768962,-0.16614617131732634,8
