dataset,acc_mean,acc_std,acc_min,acc_max,f1_mean,f1_std,delta_vs_joint_mean,n_seeds
AllGestureWiimoteX,0.10178571428571428,0.02538048652429485,0.07,0.15571428571428572,0.03453446805040282,0.01822425972422754,-0.037857142857142805,8
AllGestureWiimoteY,0.11607142857142858,0.022532774962748508,0.09428571428571429,0.1442857142857143,0.03901242906695955,0.0183032324675689,-0.04892857142857143,8
AllGestureWiimoteZ,0.10571428571428572,0.01538618516324144,0.07571428571428572,0.13142857142857142,0.03304616934161214,0.015596180886553545,-0.04660714285714278,8
Car,0.225,0.008908708063747476,0.21666666666666667,0.23333333333333334,0.09181784524250278,0.002968469921278316,-0.016666666666666607,8
ChlorineConcentration,0.43476562500000004,0.13965091980463915,0.22552083333333334,0.5330729166666667,0.2140901963421225,0.044908647465289914,0.08268229166666671,8
CinCECGTorso,0.2604166666666667,0.03980316118616306,0.22028985507246376,0.33115942028985507,0.17826486333232153,0.061258054157333694,-0.022735507246376813,8
DodgerLoopDay,0.15156250000000002,0.041424145391650166,0.1125,0.25,0.04983441904681411,0.034775158865334915,-0.015624999999999984,8
DodgerLoopGame,0.5244565217391304,0.05476890020953252,0.463768115942029,0.6086956521739131,0.3900222490269365,0.10426247973564037,0.05072463768115943,8
DodgerLoopWeekend,0.3804347826086957,0.2213917629890884,0.2608695652173913,0.7391304347826086,0.26142241379310344,0.10096227812174807,-0.29076086956521746,8
Earthquakes,0.5611510791366906,0.25617976711891877,0.2517985611510791,0.7482014388489209,0.3426252833689267,0.11715586571153315,-0.05395683453237406,8
FordA,0.5017992424242425,0.015102396030645475,0.48409090909090907,0.5159090909090909,0.3380630840106761,0.009571796812777538,-0.21401515151515155,8
FordB,0.5050925925925926,0.0004364856673990498,0.5049382716049383,0.5061728395061729,0.33586629765135134,0.0009768789513847022,-0.13348765432098764,8
FreezerRegularTrain,0.5103070175438597,0.028165837932092794,0.5,0.58,0.35922944700257153,0.0705619270663739,-0.17706140350877186,8
FreezerSmallTrain,0.46885964912280703,0.08471771864514598,0.2592982456140351,0.5,0.3227601019597285,0.028901685237180622,-0.13289473684210523,8
GesturePebbleZ1,0.16787790697674418,0.032061575786155136,0.10465116279069768,0.21511627906976744,0.07665059520871831,0.02292456474515277,-0.06686046511627902,8
GesturePebbleZ2,0.1685126582278481,0.03365033227645784,0.10759493670886076,0.22784810126582278,0.06532541526453597,0.028929983444873943,-0.04351265822784809,8
InsectWingbeatSound,0.08623737373737374,0.013216368999119784,0.05353535353535353,0.09141414141414142,0.014922264425107341,0.001107988035067391,-0.02853535353535347,8
ItalyPowerDemand,0.5058309037900874,0.04882907043686665,0.4324586977648202,0.5733722060252673,0.4001933634331386,0.080400861772039,-0.08916423712342078,8
Lightning2,0.5409836065573771,0.09796955814216342,0.39344262295081966,0.6885245901639344,0.48107557624830943,0.1327029056203563,0.0020491803278688894,8
Lightning7,0.1523972602739726,0.05645122684926498,0.0547945205479452,0.2602739726027397,0.04162049038099328,0.015464618689975559,-0.03767123287671229,8
MoteStrain,0.4741413738019169,0.1840009824490292,0.21805111821086262,0.7707667731629393,0.39441773031251015,0.1768786336347611,-0.12020766773162934,8
Phoneme,0.03415084388185654,0.033397542612704,0.011075949367088608,0.11286919831223628,0.002733113045989039,0.0015046905902177145,-0.0030986286919830602,8
PickupGestureWiimoteZ,0.09,0.023904572186687872,0.06,0.12,0.03859267084077955,0.01857122938624686,-0.005000000000000001,8
Plane,0.15,0.03801010896516734,0.09523809523809523,0.2,0.038372739435609586,0.007285308780529084,-0.14642857142857138,8
ShakeGestureWiimoteZ,0.075,0.042426406871192854,0.04,0.16,0.040771103896103895,0.022653712985796173,-0.04499999999999999,8
SonyAIBORobotSurface1,0.4444675540765391,0.02090417735847267,0.4176372712146423,0.47254575707154745,0.33158295480221117,0.03759945157981588,-0.185108153078203,8
SonyAIBORobotSurface2,0.6171301154249738,0.06275747841538179,0.4994753410283316,0.7040923399790137,0.4392961572161217,0.10736538564328763,-0.02111752360965366,8
StarLightCurves,0.618155050995629,0.08372221546432272,0.5772219524040797,0.8206653715395823,0.3120594808676996,0.12213679447735713,-0.11662214667314229,8
Trace,0.26,0.11045361017187261,0.18,0.52,0.13924942450537828,0.08948776577178551,-0.09499999999999997,8
Wafer,0.8921155094094744,0.0,0.8921155094094744,0.8921155094094744,0.4714910400411558,0.0,0.03820571057754707,8
