model,seed,dataset,epochs_trained,best_epoch,test_acc,test_f1_macro,base_test_acc,delta_vs_joint
cnn,7,AllGestureWiimoteX,6,1,0.1071428571428571,0.0654693302599564,0.1910714285714285,-0.0839285714285713
cnn,7,AllGestureWiimoteY,6,1,0.0671428571428571,0.0292965457693666,0.1935714285714285,-0.1264285714285713
cnn,7,AllGestureWiimoteZ,7,2,0.09,0.0277728369779858,0.21625,-0.12625
cnn,7,Car,6,1,0.2333333333333333,0.0945945945945946,0.25,-0.0166666666666666
cnn,7,ChlorineConcentration,10,10,0.3546875,0.2953935194115972,0.2523763020833333,0.1023111979166667
cnn,7,CinCECGTorso,8,3,0.2536231884057971,0.1011560693641618,0.2730978260869565,-0.0194746376811593
cnn,7,DodgerLoopDay,6,1,0.1375,0.0353130016051364,0.1671875,-0.0296874999999999
cnn,7,DodgerLoopGame,10,5,0.6594202898550725,0.6360065099051574,0.5253623188405797,0.1340579710144928
cnn,7,DodgerLoopWeekend,6,1,0.2608695652173913,0.2068965517241379,0.2608695652173913,0.0
cnn,7,Earthquakes,6,1,0.2517985611510791,0.2011494252873563,0.6528776978417267,-0.4010791366906475
cnn,7,FordA,10,10,0.6863636363636364,0.6695202455738887,0.9327651515151516,-0.2464015151515152
cnn,7,FordB,10,10,0.5851851851851851,0.5161290322580645,0.7816358024691358,-0.1964506172839506
cnn,7,FreezerRegularTrain,10,10,0.76,0.7599881803966955,0.5253070175438597,0.2346929824561403
cnn,7,FreezerSmallTrain,6,1,0.5,0.3333333333333333,0.5527631578947368,-0.0527631578947368
cnn,7,GesturePebbleZ1,6,1,0.25,0.1634169633585521,0.1962209302325581,0.0537790697674419
cnn,7,GesturePebbleZ2,6,1,0.1645569620253164,0.1089012781127925,0.2041139240506329,-0.0395569620253164
cnn,7,InsectWingbeatSound,6,1,0.0909090909090909,0.0161074266884501,0.1378787878787878,-0.0469696969696968
cnn,7,ItalyPowerDemand,6,1,0.5422740524781341,0.4432310723332395,0.7742954324586978,-0.2320213799805637
cnn,7,Lightning2,6,1,0.4590163934426229,0.3389162561576355,0.5389344262295082,-0.0799180327868852
cnn,7,Lightning7,10,10,0.1917808219178082,0.1612725898440184,0.2482876712328767,-0.0565068493150685
cnn,7,MoteStrain,10,10,0.7252396166134185,0.719308124454177,0.4822284345047923,0.2430111821086262
cnn,7,Phoneme,8,3,0.0327004219409282,0.003700478375517,0.0673786919831223,-0.034678270042194
cnn,7,PickupGestureWiimoteZ,6,1,0.1,0.0181818181818181,0.1325,-0.0325
cnn,7,Plane,6,1,0.0952380952380952,0.0248447204968944,0.2273809523809523,-0.132142857142857
cnn,7,ShakeGestureWiimoteZ,9,4,0.12,0.0476190476190476,0.185,-0.065
cnn,7,SonyAIBORobotSurface1,8,3,0.5707154742096506,0.3633474576271186,0.8217554076539102,-0.2510399334442595
cnn,7,SonyAIBORobotSurface2,10,10,0.4281217208814271,0.3584774453967513,0.5422350472193075,-0.1141133263378804
cnn,7,StarLightCurves,10,10,0.758135016998543,0.7008478180553036,0.4043224866440019,0.3538125303545411
cnn,7,Trace,7,2,0.19,0.0798319327731092,0.2925,-0.1024999999999999
cnn,7,Wafer,6,1,0.636275146009085,0.4441334238614534,0.8087280986372485,-0.1724529526281635
cnn,21,AllGestureWiimoteX,6,1,0.0885714285714285,0.0366103222898354,0.1910714285714285,-0.1024999999999999
cnn,21,AllGestureWiimoteY,10,10,0.1185714285714285,0.0513450421122142,0.1935714285714285,-0.0749999999999999
cnn,21,AllGestureWiimoteZ,6,1,0.09,0.0316050735366696,0.21625,-0.12625
cnn,21,Car,10,10,0.35,0.2413793103448276,0.25,0.0999999999999999
cnn,21,ChlorineConcentration,10,6,0.2979166666666666,0.2570024277939688,0.2523763020833333,0.0455403645833333
cnn,21,CinCECGTorso,10,10,0.25,0.1,0.2730978260869565,-0.0230978260869564
cnn,21,DodgerLoopDay,6,1,0.1625,0.077077077077077,0.1671875,-0.0046874999999999
cnn,21,DodgerLoopGame,7,2,0.4202898550724637,0.3478260869565217,0.5253623188405797,-0.1050724637681159
cnn,21,DodgerLoopWeekend,7,2,0.7391304347826086,0.425,0.2608695652173913,0.4782608695652173
cnn,21,Earthquakes,6,1,0.2517985611510791,0.2011494252873563,0.6528776978417267,-0.4010791366906475
cnn,21,FordA,10,10,0.7068181818181818,0.6888747319434488,0.9327651515151516,-0.2259469696969698
cnn,21,FordB,10,10,0.562962962962963,0.4809346579389446,0.7816358024691358,-0.2186728395061727
cnn,21,FreezerRegularTrain,10,10,0.7298245614035088,0.7267564288503374,0.5253070175438597,0.2045175438596491
cnn,21,FreezerSmallTrain,6,1,0.6143859649122807,0.5667527725042275,0.5527631578947368,0.0616228070175438
cnn,21,GesturePebbleZ1,6,1,0.0930232558139534,0.0478750640040962,0.1962209302325581,-0.1031976744186046
cnn,21,GesturePebbleZ2,7,2,0.2784810126582278,0.1695409266331252,0.2041139240506329,0.0743670886075949
cnn,21,InsectWingbeatSound,6,1,0.0843434343434343,0.0206201345997536,0.1378787878787878,-0.0535353535353534
cnn,21,ItalyPowerDemand,6,1,0.499514091350826,0.3331173039533376,0.7742954324586978,-0.2747813411078718
cnn,21,Lightning2,8,3,0.5409836065573771,0.351063829787234,0.5389344262295082,0.0020491803278689
cnn,21,Lightning7,7,2,0.136986301369863,0.0344234079173838,0.2482876712328767,-0.1113013698630137
cnn,21,MoteStrain,10,5,0.5399361022364217,0.3537601261739193,0.4822284345047923,0.0577076677316294
cnn,21,Phoneme,6,1,0.0221518987341772,0.0011113757243788,0.0673786919831223,-0.045226793248945
cnn,21,PickupGestureWiimoteZ,6,1,0.06,0.0125,0.1325,-0.0725
cnn,21,Plane,7,2,0.0952380952380952,0.0476190476190476,0.2273809523809523,-0.132142857142857
cnn,21,ShakeGestureWiimoteZ,8,3,0.16,0.1171626984126984,0.185,-0.0249999999999999
cnn,21,SonyAIBORobotSurface1,9,4,0.5707154742096506,0.3633474576271186,0.8217554076539102,-0.2510399334442595
cnn,21,SonyAIBORobotSurface2,10,5,0.6169989506820567,0.381570408825438,0.5422350472193075,0.0747639034627491
cnn,21,StarLightCurves,10,10,0.7637202525497815,0.6217339556514538,0.4043224866440019,0.3593977659057796
cnn,21,Trace,6,1,0.32,0.1778846153846154,0.2925,0.0275
cnn,21,Wafer,10,10,0.7125243348475017,0.520620677838512,0.8087280986372485,-0.0962037637897468
cnn,42,AllGestureWiimoteX,6,1,0.0971428571428571,0.0467641479450966,0.1910714285714285,-0.0939285714285713
cnn,42,AllGestureWiimoteY,6,1,0.1,0.0222857142857142,0.1935714285714285,-0.0935714285714285
cnn,42,AllGestureWiimoteZ,7,2,0.1014285714285714,0.0213333333333333,0.21625,-0.1148214285714285
cnn,42,Car,10,7,0.2333333333333333,0.0945945945945946,0.25,-0.0166666666666666
cnn,42,ChlorineConcentration,10,6,0.26171875,0.2280555442074806,0.2523763020833333,0.0093424479166667
cnn,42,CinCECGTorso,10,10,0.1913043478260869,0.1404301140685261,0.2730978260869565,-0.0817934782608695
cnn,42,DodgerLoopDay,6,1,0.15,0.0372670807453416,0.1671875,-0.0171874999999999
