model,seed,dataset,epochs_trained,best_epoch,test_acc,test_f1_macro,elapsed_seconds
cnn,7,AllGestureWiimoteX,12,2,0.2171428571428571,0.1554676681253711,185.9830477237701
cnn,7,AllGestureWiimoteY,12,2,0.2085714285714285,0.1083880036182419,185.9830477237701
cnn,7,AllGestureWiimoteZ,12,2,0.1142857142857142,0.0413508470112243,185.9830477237701
cnn,7,Car,12,2,0.3166666666666666,0.120253164556962,185.9830477237701
cnn,7,ChlorineConcentration,12,2,0.2307291666666666,0.1249823670475384,185.9830477237701
cnn,7,CinCECGTorso,12,2,0.2971014492753623,0.201989229237202,185.9830477237701
cnn,7,DodgerLoopDay,12,2,0.0875,0.0303030303030303,185.9830477237701
cnn,7,DodgerLoopGame,12,2,0.5217391304347826,0.3428571428571428,185.9830477237701
cnn,7,DodgerLoopWeekend,12,2,0.2608695652173913,0.2068965517241379,185.9830477237701
cnn,7,Earthquakes,12,2,0.302158273381295,0.2726439013864163,185.9830477237701
cnn,7,FordA,12,2,0.8772727272727273,0.8763827740574939,185.9830477237701
cnn,7,FordB,12,2,0.7037037037037037,0.6801053151225933,185.9830477237701
cnn,7,FreezerRegularTrain,12,2,0.5,0.3333333333333333,185.9830477237701
cnn,7,FreezerSmallTrain,12,2,0.4996491228070175,0.3337995310483744,185.9830477237701
cnn,7,GesturePebbleZ1,12,2,0.1569767441860465,0.0452261306532663,185.9830477237701
cnn,7,GesturePebbleZ2,12,2,0.2784810126582278,0.1506944444444444,185.9830477237701
cnn,7,InsectWingbeatSound,12,2,0.0909090909090909,0.0151725881906688,185.9830477237701
cnn,7,ItalyPowerDemand,12,2,0.9212827988338192,0.9209576238637818,185.9830477237701
cnn,7,Lightning2,12,2,0.4590163934426229,0.3146067415730337,185.9830477237701
cnn,7,Lightning7,12,2,0.2191780821917808,0.1020821283979178,185.9830477237701
cnn,7,MoteStrain,12,2,0.5623003194888179,0.4100676865507374,185.9830477237701
cnn,7,Phoneme,12,2,0.030590717299578,0.0101221277853096,185.9830477237701
cnn,7,PickupGestureWiimoteZ,12,2,0.1,0.0181818181818181,185.9830477237701
cnn,7,Plane,12,2,0.4,0.3317972350230414,185.9830477237701
cnn,7,ShakeGestureWiimoteZ,12,2,0.1,0.0181818181818181,185.9830477237701
cnn,7,SonyAIBORobotSurface1,12,2,0.8851913477537438,0.8773458504512018,185.9830477237701
cnn,7,SonyAIBORobotSurface2,12,2,0.3830010493179433,0.2769347496206373,185.9830477237701
cnn,7,StarLightCurves,12,2,0.2782904322486644,0.1451367781155015,185.9830477237701
cnn,7,Trace,12,2,0.29,0.1124031007751938,185.9830477237701
cnn,7,Wafer,12,2,0.9313757300454252,0.7482951529258034,185.9830477237701
cnn,21,AllGestureWiimoteX,10,2,0.25,0.1928914858364889,143.2255175113678
cnn,21,AllGestureWiimoteY,10,2,0.2114285714285714,0.1549252853625496,143.2255175113678
cnn,21,AllGestureWiimoteZ,10,2,0.3342857142857143,0.2415834631343069,143.2255175113678
cnn,21,Car,10,2,0.2333333333333333,0.0945945945945946,143.2255175113678
cnn,21,ChlorineConcentration,10,2,0.2307291666666666,0.1249823670475384,143.2255175113678
cnn,21,CinCECGTorso,10,2,0.2485507246376811,0.0995356935577481,143.2255175113678
cnn,21,DodgerLoopDay,10,2,0.2375,0.1620861678004535,143.2255175113678
cnn,21,DodgerLoopGame,10,2,0.5217391304347826,0.3428571428571428,143.2255175113678
cnn,21,DodgerLoopWeekend,10,2,0.2608695652173913,0.2068965517241379,143.2255175113678
cnn,21,Earthquakes,10,2,0.7482014388489209,0.4279835390946502,143.2255175113678
cnn,21,FordA,10,2,0.9363636363636364,0.936222934435244,143.2255175113678
cnn,21,FordB,10,2,0.8160493827160494,0.8152584376640731,143.2255175113678
cnn,21,FreezerRegularTrain,10,2,0.5052631578947369,0.3604947607835049,143.2255175113678
cnn,21,FreezerSmallTrain,10,2,0.5,0.3333333333333333,143.2255175113678
cnn,21,GesturePebbleZ1,10,2,0.25,0.1233746130030959,143.2255175113678
cnn,21,GesturePebbleZ2,10,2,0.2341772151898734,0.1576927114113453,143.2255175113678
cnn,21,InsectWingbeatSound,10,2,0.1494949494949495,0.1013572101101618,143.2255175113678
cnn,21,ItalyPowerDemand,10,2,0.5179786200194364,0.3743699374350324,143.2255175113678
cnn,21,Lightning2,10,2,0.6721311475409836,0.6677559912854031,143.2255175113678
cnn,21,Lightning7,10,2,0.1643835616438356,0.096031746031746,143.2255175113678
cnn,21,MoteStrain,10,2,0.4608626198083067,0.3180140012508322,143.2255175113678
cnn,21,Phoneme,10,2,0.1118143459915611,0.0346805151490789,143.2255175113678
cnn,21,PickupGestureWiimoteZ,10,2,0.1,0.0185185185185185,143.2255175113678
cnn,21,Plane,10,2,0.1619047619047619,0.0404761904761904,143.2255175113678
cnn,21,ShakeGestureWiimoteZ,10,2,0.24,0.199047619047619,143.2255175113678
cnn,21,SonyAIBORobotSurface1,10,2,0.7121464226289518,0.6483418734040215,143.2255175113678
cnn,21,SonyAIBORobotSurface2,10,2,0.8436516264428122,0.8423679498408659,143.2255175113678
cnn,21,StarLightCurves,10,2,0.2798688683827101,0.1457799702747999,143.2255175113678
cnn,21,Trace,10,2,0.24,0.0967741935483871,143.2255175113678
cnn,21,Wafer,10,2,0.886275146009085,0.4876687929596734,143.2255175113678
cnn,42,AllGestureWiimoteX,10,2,0.2414285714285714,0.1791887865837904,149.3810167312622
cnn,42,AllGestureWiimoteY,10,2,0.3042857142857142,0.2528855436735666,149.3810167312622
cnn,42,AllGestureWiimoteZ,10,2,0.3728571428571428,0.2928587399760138,149.3810167312622
cnn,42,Car,10,2,0.2333333333333333,0.0945945945945946,149.3810167312622
cnn,42,ChlorineConcentration,10,2,0.2307291666666666,0.1249823670475384,149.3810167312622
cnn,42,CinCECGTorso,10,2,0.2304347826086956,0.1852770189350553,149.3810167312622
cnn,42,DodgerLoopDay,10,2,0.25,0.173296110897189,149.3810167312622
cnn,42,DodgerLoopGame,10,2,0.5507246376811594,0.4066574202496533,149.3810167312622
cnn,42,DodgerLoopWeekend,10,2,0.2608695652173913,0.2068965517241379,149.3810167312622
cnn,42,Earthquakes,10,2,0.7482014388489209,0.4279835390946502,149.3810167312622
cnn,42,FordA,10,2,0.9409090909090908,0.9408955223880596,149.3810167312622
cnn,42,FordB,10,2,0.782716049382716,0.7797498393236764,149.3810167312622
cnn,42,FreezerRegularTrain,10,2,0.5,0.3400731318402669,149.3810167312622
cnn,42,FreezerSmallTrain,10,2,0.4996491228070175,0.3331773514272344,149.3810167312622
cnn,42,GesturePebbleZ1,10,2,0.2034883720930232,0.1310527840900425,149.3810167312622
cnn,42,GesturePebbleZ2,10,2,0.2088607594936709,0.0861689520907397,149.3810167312622
cnn,42,InsectWingbeatSound,10,2,0.1671717171717171,0.1275654671022249,149.3810167312622
cnn,42,ItalyPowerDemand,10,2,0.932944606413994,0.932887561782746,149.3810167312622
cnn,42,Lightning2,10,2,0.5573770491803278,0.5040650406504065,149.3810167312622
cnn,42,Lightning7,10,2,0.410958904109589,0.387630366238176,149.3810167312622
cnn,42,MoteStrain,10,2,0.4904153354632588,0.4034622335738077,149.3810167312622
cnn,42,Phoneme,10,2,0.1197257383966244,0.0386608092388977,149.3810167312622
cnn,42,PickupGestureWiimoteZ,10,2,0.22,0.1769119769119769,149.3810167312622
cnn,42,Plane,10,2,0.1428571428571428,0.0357142857142857,149.3810167312622
cnn,42,ShakeGestureWiimoteZ,10,2,0.3,0.2230804283435862,149.3810167312622
cnn,42,SonyAIBORobotSurface1,10,2,0.5806988352745425,0.3917004048582996,149.3810167312622
cnn,42,SonyAIBORobotSurface2,10,2,0.3830010493179433,0.2769347496206373,149.3810167312622
cnn,42,StarLightCurves,10,2,0.6690140845070423,0.4237115262864541,149.3810167312622
cnn,42,Trace,10,2,0.19,0.0798319327731092,149.3810167312622
cnn,42,Wafer,10,2,0.7918559377027904,0.6469505423924105,149.3810167312622
cnn,63,AllGestureWiimoteX,10,8,0.1428571428571428,0.0970594216924263,148.7773792743683
cnn,63,AllGestureWiimoteY,10,8,0.15,0.0992424242424242,148.7773792743683
cnn,63,AllGestureWiimoteZ,10,8,0.2128571428571428,0.139871217905456,148.7773792743683
cnn,63,Car,10,8,0.3166666666666666,0.120253164556962,148.7773792743683
cnn,63,ChlorineConcentration,10,8,0.2322916666666666,0.1369670849349808,148.7773792743683
cnn,63,CinCECGTorso,10,8,0.3297101449275362,0.2294927950762093,148.7773792743683
cnn,63,DodgerLoopDay,10,8,0.15,0.0372670807453416,148.7773792743683
cnn,63,DodgerLoopGame,10,8,0.5217391304347826,0.3428571428571428,148.7773792743683
cnn,63,DodgerLoopWeekend,10,8,0.2608695652173913,0.2068965517241379,148.7773792743683
cnn,63,Earthquakes,10,8,0.4964028776978417,0.4957504145936982,148.7773792743683
cnn,63,FordA,10,8,0.9477272727272728,0.9476002128669436,148.7773792743683
cnn,63,FordB,10,8,0.8320987654320988,0.8312334542602215,148.7773792743683
cnn,63,FreezerRegularTrain,10,8,0.5,0.3333333333333333,148.7773792743683
cnn,63,FreezerSmallTrain,10,8,0.7042105263157895,0.692983493014801,148.7773792743683
cnn,63,GesturePebbleZ1,10,8,0.2209302325581395,0.1468546132339236,148.7773792743683
cnn,63,GesturePebbleZ2,10,8,0.1518987341772152,0.067251461988304,148.7773792743683
cnn,63,InsectWingbeatSound,10,8,0.0909090909090909,0.0151585329908627,148.7773792743683
cnn,63,ItalyPowerDemand,10,8,0.6151603498542274,0.5494387389539049,148.7773792743683
cnn,63,Lightning2,10,8,0.4754098360655737,0.3475935828877005,148.7773792743683
cnn,63,Lightning7,10,8,0.3150684931506849,0.2733932733932734,148.7773792743683
cnn,63,MoteStrain,10,8,0.4624600638977635,0.3200347005063853,148.7773792743683
cnn,63,Phoneme,10,8,0.0638185654008438,0.0217317671970117,148.7773792743683
cnn,63,PickupGestureWiimoteZ,10,8,0.16,0.080672268907563,148.7773792743683
cnn,63,Plane,10,8,0.2666666666666666,0.1160871756109851,148.7773792743683
cnn,63,ShakeGestureWiimoteZ,10,8,0.2,0.1312765957446808,148.7773792743683
cnn,63,SonyAIBORobotSurface1,10,8,0.9550748752079868,0.9544570461491828,148.7773792743683
cnn,63,SonyAIBORobotSurface2,10,8,0.7995802728226653,0.7855204536965357,148.7773792743683
cnn,63,StarLightCurves,10,8,0.2333657115104419,0.2534217522731106,148.7773792743683
cnn,63,Trace,10,8,0.32,0.2652983171851096,148.7773792743683
cnn,63,Wafer,10,8,0.3186242699545749,0.3100285403972629,148.7773792743683
cnn,84,AllGestureWiimoteX,10,1,0.2585714285714285,0.1836679397041586,149.11848282814026
cnn,84,AllGestureWiimoteY,10,1,0.1671428571428571,0.0836458604579603,149.11848282814026
cnn,84,AllGestureWiimoteZ,10,1,0.2042857142857143,0.1423021832886595,149.11848282814026
cnn,84,Car,10,1,0.2333333333333333,0.0945945945945946,149.11848282814026
cnn,84,ChlorineConcentration,10,1,0.23125,0.1261589358367284,149.11848282814026
cnn,84,CinCECGTorso,10,1,0.2492753623188406,0.1061060472410075,149.11848282814026
cnn,84,DodgerLoopDay,10,1,0.1875,0.0907563025210084,149.11848282814026
cnn,84,DodgerLoopGame,10,1,0.5217391304347826,0.3428571428571428,149.11848282814026
cnn,84,DodgerLoopWeekend,10,1,0.2608695652173913,0.2068965517241379,149.11848282814026
cnn,84,Earthquakes,10,1,0.7482014388489209,0.4279835390946502,149.11848282814026
cnn,84,FordA,10,1,0.9484848484848484,0.94843264186194,149.11848282814026
cnn,84,FordB,10,1,0.8320987654320988,0.831974814525576,149.11848282814026
cnn,84,FreezerRegularTrain,10,1,0.5,0.3333333333333333,149.11848282814026
cnn,84,FreezerSmallTrain,10,1,0.5,0.3333333333333333,149.11848282814026
cnn,84,GesturePebbleZ1,10,1,0.1627906976744186,0.055884009009009,149.11848282814026
cnn,84,GesturePebbleZ2,10,1,0.1835443037974683,0.0820689655172413,149.11848282814026
cnn,84,InsectWingbeatSound,10,1,0.1136363636363636,0.0347459781532126,149.11848282814026
cnn,84,ItalyPowerDemand,10,1,0.8367346938775511,0.8338753200027675,149.11848282814026
cnn,84,Lightning2,10,1,0.5573770491803278,0.4392236976506639,149.11848282814026
cnn,84,Lightning7,10,1,0.1643835616438356,0.12082180114967,149.11848282814026
cnn,84,MoteStrain,10,1,0.476038338658147,0.3573760230349123,149.11848282814026
cnn,84,Phoneme,10,1,0.0363924050632911,0.0127875158563969,149.11848282814026
cnn,84,PickupGestureWiimoteZ,10,1,0.12,0.0385899814471243,149.11848282814026
cnn,84,Plane,10,1,0.1428571428571428,0.0357142857142857,149.11848282814026
