dataset,acc_mean,acc_std,acc_min,acc_max,f1_mean,f1_std,delta_vs_joint_mean,n_seeds
AllGestureWiimoteX,0.33482142857142855,0.11098797639289622,0.1457142857142857,0.45285714285714285,0.28571141366473574,0.12072397370950574,0.14375000000000007,8
AllGestureWiimoteY,0.45285714285714285,0.11260498826394948,0.18142857142857144,0.5357142857142857,0.42084324002691464,0.12862601316439431,0.25928571428571434,8
AllGestureWiimoteZ,0.37375,0.08356466918417171,0.1757142857142857,0.44,0.3264591483004203,0.09257040840554713,0.1575,8
Car,0.31875,0.046664540767903905,0.23333333333333334,0.4,0.15054540103551728,0.053956254440707604,0.06874999999999999,8
ChlorineConcentration,0.47320963541666666,0.05525015920057035,0.37604166666666666,0.5359375,0.4393534708274125,0.05004720385427868,0.22083333333333338,8
CinCECGTorso,0.26530797101449277,0.026643019659834965,0.24057971014492754,0.3144927536231884,0.14754701916179444,0.054540960835711236,-0.007789855072463731,8
DodgerLoopDay,0.19999999999999998,0.06681531047810609,0.1375,0.2875,0.08581778539569167,0.06025222723579424,0.03281250000000001,8
DodgerLoopGame,0.5679347826086957,0.0718334386490898,0.4782608695652174,0.6811594202898551,0.4766443100370503,0.1401353980998216,0.04257246376811595,8
DodgerLoopWeekend,0.7509057971014492,0.22461889656316034,0.2608695652173913,0.8985507246376812,0.7082369112634743,0.22371210186045679,0.490036231884058,8
Earthquakes,0.5881294964028777,0.08343462953052662,0.4892086330935252,0.7122302158273381,0.508374919247993,0.055735313719306505,-0.06474820143884896,8
FordA,0.9432765151515151,0.004331878104574864,0.9363636363636364,0.9484848484848485,0.9432200741898241,0.0043304799143164124,0.010511363636363555,8
FordB,0.8060185185185185,0.016463752693186198,0.7790123456790123,0.8271604938271605,0.8052572234269733,0.017345125593707173,0.024382716049382747,8
FreezerRegularTrain,0.6685087719298246,0.11124471148330406,0.4978947368421053,0.7628070175438596,0.6244704557192204,0.18024678589790624,0.14320175438596489,8
FreezerSmallTrain,0.5613157894736842,0.11422297996772071,0.49894736842105264,0.7628070175438596,0.43581471356671314,0.19017583991277678,0.00855263157894736,8
GesturePebbleZ1,0.23982558139534885,0.031038018174509633,0.18604651162790697,0.28488372093023256,0.1554978986874544,0.04428181669232747,0.04360465116279074,8
GesturePebbleZ2,0.2610759493670886,0.09063490658193649,0.17721518987341772,0.43037974683544306,0.166655587737691,0.09541531777052402,0.056962025316455715,8
InsectWingbeatSound,0.09981060606060606,0.012285258064049486,0.09090909090909091,0.11868686868686869,0.028272042467888774,0.017941981286775797,-0.03806818181818174,8
ItalyPowerDemand,0.6956997084548106,0.1816941491109248,0.5014577259475219,0.9504373177842566,0.6264663659736287,0.25499506216885814,-0.0785957240038873,8
Lightning2,0.5778688524590164,0.04616019518601176,0.5245901639344263,0.6721311475409836,0.5099271649405527,0.0962689846394872,0.038934426229508226,8
Lightning7,0.16952054794520546,0.04908486168760864,0.0958904109589041,0.2465753424657534,0.10123953597222873,0.0469086614464166,-0.07876712328767124,8
MoteStrain,0.7225439297124601,0.11283844551401052,0.5559105431309904,0.854632587859425,0.6785591693462645,0.1493614075689116,0.24031549520766776,8
Phoneme,0.06592827004219409,0.03218843195344423,0.031118143459915613,0.12658227848101267,0.016622648214281107,0.02430721555357601,-0.0014504219409282012,8
PickupGestureWiimoteZ,0.1775,0.0696419413859206,0.12,0.34,0.12582834480146854,0.06333220818001262,0.045,8
Plane,0.31785714285714284,0.12479331795422888,0.2,0.5142857142857142,0.1847351439823863,0.1392847643855455,0.09047619047619056,8
ShakeGestureWiimoteZ,0.21000000000000002,0.0632455532033676,0.14,0.34,0.13667055812059345,0.06985656537348169,0.025000000000000012,8
SonyAIBORobotSurface1,0.6470465890183028,0.22525321916893903,0.4292845257903494,0.9251247920133111,0.5877072999400282,0.2828138745270881,-0.17470881863560736,8
SonyAIBORobotSurface2,0.7694123819517313,0.1762905449996152,0.3830010493179433,0.8992654774396642,0.7202262756879682,0.23035007275534647,0.22717733473242388,8
StarLightCurves,0.8903138659543468,0.05315073077939934,0.7753763963088878,0.945726080621661,0.8697244761599885,0.04846324015059801,0.48599137931034486,8
Trace,0.24,0.0,0.24,0.24,0.0967741935483871,0.0,-0.05249999999999999,8
Wafer,0.979315379623621,0.0316508080744121,0.9024983776768333,0.9954574951330305,0.9553534247086,0.058887331521135025,0.17058728098637255,8
