dataset,acc_mean,acc_std,acc_min,acc_max,f1_mean,f1_std,delta_vs_joint_mean,n_seeds
AllGestureWiimoteX,0.33,0.019363034723478237,0.3028571428571429,0.3628571428571429,0.30237745373611014,0.023839159218238433,0.1389285714285715,8
AllGestureWiimoteY,0.35232142857142856,0.023867192066576594,0.32,0.39285714285714285,0.32018907266562546,0.027847739405774317,0.15875000000000006,8
AllGestureWiimoteZ,0.32517857142857143,0.024860397394261075,0.28,0.3585714285714286,0.2779820299525815,0.029011383180258202,0.10892857142857143,8
Car,0.27708333333333335,0.05340582870513797,0.21666666666666667,0.35,0.12415409852988567,0.043708470414177567,0.027083333333333327,8
ChlorineConcentration,0.43515625,0.09021226827995338,0.23072916666666668,0.51171875,0.39292806268366165,0.10950185779123345,0.1827799479166667,8
CinCECGTorso,0.2726449275362319,0.035289504336730254,0.2536231884057971,0.35507246376811596,0.14900424855380795,0.048429987025632594,-0.000452898550724605,8
DodgerLoopDay,0.1609375,0.04352621336620037,0.1125,0.25,0.06433764934069394,0.043642272558177424,-0.0062499999999999865,8
DodgerLoopGame,0.49728260869565216,0.06561158759915191,0.41304347826086957,0.6304347826086957,0.39881746149150665,0.099567836330616,-0.028079710144927536,8
DodgerLoopWeekend,0.5498188405797101,0.22413412805817515,0.2608695652173913,0.7391304347826086,0.3735107984472032,0.11558138437178056,0.28894927536231885,8
Earthquakes,0.6321942446043165,0.06496907627505663,0.539568345323741,0.7482014388489209,0.5446215913959259,0.05758345909173158,-0.020683453237410124,8
FordA,0.9382575757575757,0.004069609453888171,0.9295454545454546,0.943939393939394,0.9382186681032298,0.004105457853647639,0.00549242424242416,8
FordB,0.8111111111111111,0.007752120273663432,0.7975308641975308,0.8209876543209876,0.8105807332604276,0.008136587391659332,0.029475308641975326,8
FreezerRegularTrain,0.615219298245614,0.10258050911109849,0.5,0.7543859649122807,0.5524337806937244,0.16938531775680207,0.08991228070175436,8
FreezerSmallTrain,0.6448245614035087,0.10665194958490737,0.5,0.7575438596491229,0.5932911149643462,0.16994393159385837,0.09206140350877194,8
GesturePebbleZ1,0.21584302325581395,0.08648299435943477,0.09302325581395349,0.32558139534883723,0.1382572238001807,0.09698154865232736,0.019622093023255863,8
GesturePebbleZ2,0.2713607594936709,0.0902354664112069,0.17721518987341772,0.4050632911392405,0.1868854683473705,0.11126975736269391,0.067246835443038,8
InsectWingbeatSound,0.10580808080808081,0.040905082375358386,0.08535353535353535,0.20656565656565656,0.032254049648228436,0.03141036389823685,-0.032070707070706986,8
ItalyPowerDemand,0.5741010689990282,0.16272126454441319,0.4684159378036929,0.9251700680272109,0.4550543772912683,0.2313931784522376,-0.20019436345966962,8
Lightning2,0.569672131147541,0.05165514051548658,0.5409836065573771,0.6885245901639344,0.4335233457499921,0.12246488066755404,0.03073770491803285,8
Lightning7,0.1780821917808219,0.07852212386590558,0.1095890410958904,0.3424657534246575,0.0891237314434336,0.06691661179185902,-0.0702054794520548,8
MoteStrain,0.5473242811501597,0.09726973912310197,0.45686900958466453,0.7420127795527156,0.4116773335577387,0.13974995607869958,0.06509584664536744,8
Phoneme,0.05603902953586498,0.024746108944750874,0.022151898734177215,0.0859704641350211,0.02401326429677314,0.017652088452194,-0.011339662447257318,8
PickupGestureWiimoteZ,0.13,0.047809144373375745,0.08,0.22,0.06723261567531823,0.04197724670330424,-0.002500000000000004,8
Plane,0.20595238095238094,0.11663542549917456,0.0761904761904762,0.41904761904761906,0.09339507645099243,0.08888401374422633,-0.02142857142857134,8
ShakeGestureWiimoteZ,0.135,0.04629100498862757,0.1,0.24,0.06333749066512309,0.050308917329210334,-0.04999999999999999,8
SonyAIBORobotSurface1,0.4355241264559068,0.012379763879248655,0.4292845257903494,0.46256239600665555,0.3121145444345277,0.02324990335736946,-0.3862312811980034,8
SonyAIBORobotSurface2,0.7064533053515215,0.15703826447480398,0.4050367261280168,0.8761804826862539,0.6248191835992158,0.22585486902093616,0.16421825813221402,8
StarLightCurves,0.910985308402137,0.0490084570139304,0.8057309373482273,0.948761534725595,0.8905593453300488,0.04567439421905852,0.5066628217581352,8
Trace,0.38,0.06546536707079773,0.31,0.49,0.25306971251952187,0.05454748713250526,0.08750000000000002,8
Wafer,0.9899618754055808,0.0022785865707203993,0.9853990914990266,0.9928617780661908,0.9735518320170796,0.006198015184450858,0.1812337767683323,8
