dataset,acc_mean,acc_std,acc_min,acc_max,f1_mean,f1_std,delta_vs_joint_mean,n_seeds
AllGestureWiimoteX,0.2844642857142857,0.03727947793650901,0.23714285714285716,0.3442857142857143,0.24627631498946828,0.03721486096580135,0.14482142857142863,8
AllGestureWiimoteY,0.2596428571428572,0.02484646732989439,0.21857142857142858,0.2957142857142857,0.20694069537198387,0.027485643475114185,0.09464285714285714,8
AllGestureWiimoteZ,0.21785714285714286,0.026374738333440083,0.1757142857142857,0.2571428571428571,0.15934852806631966,0.034306225109144925,0.06553571428571435,8
Car,0.24583333333333335,0.044320263021395905,0.21666666666666667,0.31666666666666665,0.09823248773309463,0.013805877033038821,0.004166666666666721,8
ChlorineConcentration,0.43447265625000003,0.13261977858308116,0.22916666666666666,0.5325520833333334,0.2212637036790008,0.06604545404558554,0.08238932291666672,8
CinCECGTorso,0.26820652173913045,0.019797476950808336,0.24855072463768116,0.29637681159420287,0.13746973163675946,0.04155759515584241,-0.014945652173913051,8
DodgerLoopDay,0.15,0.009449111825230675,0.1375,0.1625,0.03725240230950509,0.002041697536389141,-0.017187499999999988,8
DodgerLoopGame,0.5,0.02324010799238471,0.4782608695652174,0.5217391304347826,0.3331932773109244,0.010331106830228162,0.02626811594202899,8
DodgerLoopWeekend,0.7101449275362319,0.19250205411309035,0.2608695652173913,0.9202898550724637,0.500396213883111,0.2051427916832466,0.0389492753623188,8
Earthquakes,0.5,0.26533849916485297,0.2517985611510791,0.7482014388489209,0.31456648219100325,0.12124793392848315,-0.1151079136690647,8
FordA,0.8717803030303031,0.08115992014577761,0.6765151515151515,0.9151515151515152,0.8695555318700408,0.08627159596157831,0.1559659090909091,8
FordB,0.7223765432098765,0.10588212835534631,0.528395061728395,0.8185185185185185,0.6951229150854684,0.1540007822798642,0.08379629629629626,8
FreezerRegularTrain,0.7474561403508772,0.03752757710300639,0.6564912280701755,0.7670175438596492,0.7436997152399125,0.04670536457319062,0.060087719298245676,8
FreezerSmallTrain,0.6822368421052631,0.04170061932845314,0.6280701754385964,0.7596491228070176,0.6643980591532876,0.05390847432910244,0.08048245614035089,8
GesturePebbleZ1,0.2667151162790698,0.04174466032175815,0.20930232558139536,0.3430232558139535,0.18509835015597637,0.04154758856616147,0.031976744186046575,8
GesturePebbleZ2,0.30537974683544306,0.07379013235911157,0.21518987341772153,0.43037974683544306,0.2386068182284777,0.05758434793910475,0.09335443037974685,8
InsectWingbeatSound,0.11029040404040405,0.020178444938205357,0.09090909090909091,0.14242424242424243,0.03827042461904704,0.022143702782983832,-0.004482323232323166,8
ItalyPowerDemand,0.6107871720116618,0.10067844959989664,0.49854227405247814,0.7453838678328474,0.5462842917081043,0.16380879629085465,0.015792031098153574,8
Lightning2,0.6782786885245902,0.028979786114202793,0.6229508196721312,0.7049180327868853,0.671077254173007,0.03556773442232783,0.139344262295082,8
Lightning7,0.2791095890410959,0.05016526316480857,0.1780821917808219,0.3424657534246575,0.13748934085304293,0.029682432194942678,0.08904109589041098,8
MoteStrain,0.6982827476038339,0.15267429889625167,0.46086261980830673,0.8186900958466453,0.6539246242670403,0.21504322291959901,0.10393370607028758,8
Phoneme,0.029865506329113924,0.017925701433055392,0.004746835443037975,0.05379746835443038,0.0039039618753337656,0.0034700476787232273,-0.007383966244725675,8
PickupGestureWiimoteZ,0.165,0.027774602993176543,0.12,0.2,0.08003803268248005,0.020900436527292225,0.07,8
Plane,0.21666666666666667,0.06434237865483447,0.1619047619047619,0.3238095238095238,0.10569682037286042,0.07666068526479293,-0.0797619047619047,8
ShakeGestureWiimoteZ,0.14,0.028284271247461898,0.1,0.18,0.056262761638769296,0.027856454346494107,0.02000000000000001,8
SonyAIBORobotSurface1,0.4746256239600666,0.04744493741421198,0.4292845257903494,0.5657237936772047,0.37958053589417967,0.07841247137934622,-0.15495008319467551,8
SonyAIBORobotSurface2,0.7212749213011542,0.040562183612367776,0.646379853095488,0.7607555089192025,0.6268030126702747,0.08385877205710059,0.08302728226652682,8
StarLightCurves,0.779504613890238,0.015755381174369684,0.758135016998543,0.8064594463331715,0.733088142996966,0.01111891184522883,0.044727416221466726,8
Trace,0.5025,0.06881652625434015,0.39,0.6,0.37687211751995014,0.06262380038811723,0.14750000000000002,8
Wafer,0.8921155094094744,0.0,0.8921155094094744,0.8921155094094744,0.4714910400411558,0.0,0.03820571057754707,8
