dataset,acc_mean,acc_std,acc_min,acc_max,f1_mean,f1_std,delta_vs_joint_mean,n_seeds
AllGestureWiimoteX,0.1323214285714286,0.019527023959708564,0.1,0.15142857142857144,0.053406486715258224,0.017515638620334652,-0.007321428571428519,8
AllGestureWiimoteY,0.15446428571428572,0.00780362104780376,0.14,0.16428571428571428,0.07554340336176094,0.00745044661366873,-0.01053571428571429,8
AllGestureWiimoteZ,0.13357142857142856,0.019587584572574417,0.10285714285714286,0.15428571428571428,0.06286197489180095,0.01999392311694456,-0.018749999999999926,8
Car,0.23958333333333334,0.032043497223082786,0.21666666666666667,0.31666666666666665,0.10019405554919772,0.014060683287169395,-0.0020833333333332774,8
ChlorineConcentration,0.5325520833333334,0.0,0.5325520833333334,0.5325520833333334,0.2318399881483983,0.0002783011214014812,0.18046875000000007,8
CinCECGTorso,0.2629528985507246,0.024409605332290214,0.22318840579710145,0.3050724637681159,0.1497534875684518,0.03968479793090689,-0.02019927536231885,8
DodgerLoopDay,0.146875,0.008838834764831842,0.1375,0.1625,0.03657719426102515,0.0019157628286358703,-0.020312499999999987,8
DodgerLoopGame,0.4945652173913043,0.022502137804641966,0.4782608695652174,0.5217391304347826,0.33077731092436974,0.010003051175340843,0.020833333333333343,8
DodgerLoopWeekend,0.7807971014492754,0.06728380303556479,0.7391304347826086,0.9130434782608695,0.5569928295478693,0.19414120968647747,0.10960144927536225,8
Earthquakes,0.5620503597122302,0.2569128970932865,0.2517985611510791,0.7482014388489209,0.342920746416915,0.11739780721676812,-0.05305755395683448,8
FordA,0.890435606060606,0.00789310948600074,0.8772727272727273,0.8977272727272727,0.8900924446970572,0.008213615992239265,0.1746212121212121,8
FordB,0.7345679012345679,0.03885037705631227,0.6691358024691358,0.7790123456790123,0.7280635993483385,0.04681123878902412,0.09598765432098763,8
FreezerRegularTrain,0.5313157894736842,0.08871628913941679,0.49964912280701756,0.7508771929824561,0.385326913113656,0.1471230876960078,-0.1560526315789473,8
FreezerSmallTrain,0.6085087719298246,0.12223608784017112,0.5,0.7533333333333333,0.5198595137057209,0.20517797109235827,0.006754385964912291,8
GesturePebbleZ1,0.19622093023255816,0.04500787572620441,0.14534883720930233,0.29651162790697677,0.07777905433804819,0.04768609098604387,-0.03851744186046505,8
GesturePebbleZ2,0.16930379746835444,0.046846438277319664,0.11392405063291139,0.26582278481012656,0.0752332583233847,0.03941987137560772,-0.042721518987341764,8
InsectWingbeatSound,0.09772727272727273,0.013033826162185796,0.09090909090909091,0.12424242424242424,0.021011081056710762,0.010969871696016393,-0.01704545454545448,8
ItalyPowerDemand,0.5784742468415938,0.09514561436154804,0.49854227405247814,0.7259475218658892,0.48301913771908134,0.15872336671520756,-0.01652089407191447,8
Lightning2,0.5717213114754098,0.09040313172489646,0.4918032786885246,0.7213114754098361,0.5054022949083676,0.1316866088541485,0.03278688524590169,8
Lightning7,0.18321917808219176,0.049628002555443286,0.136986301369863,0.2876712328767123,0.07402856751536524,0.049731598577946345,-0.006849315068493116,8
MoteStrain,0.6458666134185304,0.16643066437560952,0.3266773162939297,0.7971246006389776,0.5862843919259694,0.2222810629472407,0.05151757188498407,8
Phoneme,0.029074367088607594,0.021398979975217867,0.004219409282700422,0.061708860759493674,0.0024786174968650636,0.0024041330955125945,-0.008175105485232006,8
PickupGestureWiimoteZ,0.105,0.014142135623730947,0.08,0.12,0.035325473132883256,0.01728516522208603,0.01,8
Plane,0.18214285714285713,0.11845430381647847,0.09523809523809523,0.44761904761904764,0.09073428759440659,0.11614912834052535,-0.11428571428571424,8
ShakeGestureWiimoteZ,0.125,0.027774602993176543,0.1,0.18,0.05565144251752324,0.03311097188002367,0.005000000000000008,8
SonyAIBORobotSurface1,0.5058236272878536,0.08943994210940114,0.43926788685524126,0.6955074875207987,0.40389587574788804,0.12203833468849995,-0.12375207986688852,8
SonyAIBORobotSurface2,0.713405036726128,0.06920826590462907,0.6169989506820567,0.8048268625393494,0.6210710783800264,0.1568078378221215,0.07515739769150057,8
StarLightCurves,0.771642787761049,0.012425356170989625,0.7531568722680914,0.7921321029626032,0.7265170079379544,0.017473105865813125,0.036865590092277786,8
Trace,0.28875,0.10656151811445415,0.19,0.47,0.14713983390093896,0.09752540056279002,-0.06624999999999998,8
Wafer,0.8921155094094744,0.0,0.8921155094094744,0.8921155094094744,0.4714910400411558,0.0,0.03820571057754707,8
