model,lr,lr_label,seed,dataset,epochs_trained,best_epoch,test_acc,test_f1_macro,base_test_acc,delta_vs_joint
cnn,0.001617,primary,7,AllGestureWiimoteX,10,10,0.3942857142857143,0.3321648768304807,0.1910714285714285,0.2032142857142858
cnn,0.001617,primary,7,AllGestureWiimoteY,6,1,0.1814285714285714,0.1106195496565488,0.1935714285714285,-0.012142857142857
cnn,0.001617,primary,7,AllGestureWiimoteZ,10,10,0.3857142857142857,0.3552769007435162,0.21625,0.1694642857142857
cnn,0.001617,primary,7,Car,8,3,0.3166666666666666,0.120253164556962,0.25,0.0666666666666666
cnn,0.001617,primary,7,ChlorineConcentration,10,10,0.42890625,0.4382218981115098,0.2523763020833333,0.1765299479166667
cnn,0.001617,primary,7,CinCECGTorso,6,1,0.2536231884057971,0.1011560693641618,0.2730978260869565,-0.0194746376811593
cnn,0.001617,primary,7,DodgerLoopDay,7,2,0.1375,0.0345368916797488,0.1671875,-0.0296874999999999
cnn,0.001617,primary,7,DodgerLoopGame,7,2,0.5362318840579711,0.3755656108597285,0.5253623188405797,0.0108695652173913
cnn,0.001617,primary,7,DodgerLoopWeekend,9,4,0.855072463768116,0.787037037037037,0.2608695652173913,0.5942028985507246
cnn,0.001617,primary,7,Earthquakes,10,8,0.5683453237410072,0.5391246684350133,0.6528776978417267,-0.0845323741007194
cnn,0.001617,primary,7,FordA,10,10,0.9462121212121212,0.9462120903421088,0.9327651515151516,0.0134469696969695
cnn,0.001617,primary,7,FordB,8,3,0.7950617283950617,0.7931435533894551,0.7816358024691358,0.0134259259259259
cnn,0.001617,primary,7,FreezerRegularTrain,6,1,0.7435087719298246,0.7410982524271845,0.5253070175438597,0.2182017543859649
cnn,0.001617,primary,7,FreezerSmallTrain,9,4,0.5,0.3333333333333333,0.5527631578947368,-0.0527631578947368
cnn,0.001617,primary,7,GesturePebbleZ1,7,2,0.2616279069767442,0.130121271714192,0.1962209302325581,0.0654069767441861
cnn,0.001617,primary,7,GesturePebbleZ2,6,1,0.1772151898734177,0.0620174450148157,0.2041139240506329,-0.0268987341772151
cnn,0.001617,primary,7,InsectWingbeatSound,6,1,0.1176767676767676,0.0600859695089039,0.1378787878787878,-0.0202020202020201
cnn,0.001617,primary,7,ItalyPowerDemand,7,2,0.5014577259475219,0.3339805825242718,0.7742954324586978,-0.2728377065111759
cnn,0.001617,primary,7,Lightning2,8,3,0.6065573770491803,0.5536585365853659,0.5389344262295082,0.0676229508196721
cnn,0.001617,primary,7,Lightning7,7,2,0.136986301369863,0.0882205513784461,0.2482876712328767,-0.1113013698630137
cnn,0.001617,primary,7,MoteStrain,8,3,0.8498402555910544,0.8438103024045314,0.4822284345047923,0.367611821086262
cnn,0.001617,primary,7,Phoneme,6,1,0.045886075949367,0.0081184765632024,0.0673786919831223,-0.0214926160337552
cnn,0.001617,primary,7,PickupGestureWiimoteZ,10,5,0.16,0.1200373482726423,0.1325,0.0274999999999999
cnn,0.001617,primary,7,Plane,7,2,0.2,0.0476190476190476,0.2273809523809523,-0.0273809523809522
cnn,0.001617,primary,7,ShakeGestureWiimoteZ,9,4,0.2,0.0966791979949874,0.185,0.015
cnn,0.001617,primary,7,SonyAIBORobotSurface1,8,3,0.9251247920133112,0.9246441179502756,0.8217554076539102,0.1033693843594009
cnn,0.001617,primary,7,SonyAIBORobotSurface2,10,10,0.8992654774396642,0.8963059681192536,0.5422350472193075,0.3570304302203567
cnn,0.001617,primary,7,StarLightCurves,10,10,0.7753763963088878,0.7698021038784115,0.4043224866440019,0.3710539096648859
cnn,0.001617,primary,7,Trace,6,1,0.24,0.0967741935483871,0.2925,-0.0524999999999999
cnn,0.001617,primary,7,Wafer,10,9,0.9954574951330304,0.988122137068358,0.8087280986372485,0.186729396495782
cnn,0.001617,primary,21,AllGestureWiimoteX,10,9,0.3785714285714285,0.3318481577266791,0.1910714285714285,0.1875
