condition,model,scope,acc_mean,acc_std,acc_min,acc_max,n_datasets
specialist,HC2,20,0.8789881330519655,0.15911585770641462,0.3665611814345991,1.0,20
specialist,MiniRocket_local,30,0.8389572388169175,0.1509984561137131,0.2921940928270042,1.0,30
specialist,MiniRocket_local,20,0.8612400625196297,0.1681014872446359,0.2921940928270042,1.0,20
joint,cnn,30,0.3946298495914042,0.24733370319367073,0.0673786919831223,0.9327651515151516,30
joint,cnn,20,0.47833741961290527,0.25600101376732093,0.0673786919831223,0.9327651515151516,20
finetuned,cnn,30,0.6469145622450357,0.2386615114737175,0.1166930379746835,0.9958630759247242,30
finetuned,cnn,20,0.7032545367195613,0.2607285136760834,0.1166930379746835,0.9958630759247242,20
head,cnn,30,0.6253111587266055,0.24741972149663105,0.1076608649789029,0.9914625243348476,30
head,cnn,20,0.6854034760246255,0.2655192396620028,0.1076608649789029,0.9914625243348476,20
scratch,cnn,30,0.4789501551296057,0.26587914828709874,0.065928270042194,0.979315379623621,30
scratch,cnn,20,0.5399916985993509,0.2824209323485663,0.065928270042194,0.979315379623621,20
joint,lstm,30,0.40482262539133224,0.2428699711340575,0.0372494725738396,0.8539097988319273,30
joint,lstm,20,0.485691787562254,0.23088085436159309,0.0372494725738396,0.8539097988319273,20
finetuned,lstm,30,0.45939259467420196,0.24782231649811912,0.0487869198312236,0.8682268007787151,30
finetuned,lstm,20,0.5420482589319235,0.23331142870752672,0.0487869198312236,0.8682268007787151,20
head,lstm,30,0.4196885194952179,0.2465093346283638,0.0359309071729957,0.8221933809214795,30
head,lstm,20,0.5013569106733424,0.23439761819703508,0.0359309071729957,0.8221933809214795,20
scratch,lstm,30,0.44882892863873713,0.2544524397956936,0.0298655063291139,0.8921155094094744,30
scratch,lstm,20,0.5232831891398542,0.25759320594620355,0.0298655063291139,0.8921155094094744,20
